1  1.70   1421.00 460.00 
2  2.03   3005.00 1463.00 
3  2.33   4000.00 2727.00 
4  2.64   4919.00 4039.00 
5  3.00   5904.00 5311.00 
6  3.30   6841.00 6164.00 
7  3.84   8292.00 7450.00 
8  4.40   9247.00 8471.00 
9  5.59  10308.00 9929.00 
10 15.30  11241.00 11251.00 
