1  5.00    750.00 1482.00 
2  7.10   1771.00 2721.00 
3  9.00   2944.00 3820.00 
4 11.06   4188.00 4877.00 
5 13.51   5373.00 5948.00 
6 16.30   6561.00 7024.00 
7 19.60   7746.00 8087.00 
8 22.94   8924.00 9188.00 
9 25.92  10081.00 10295.00 
10 32.30  11321.00 11323.00 
