  4.800   1.604   0.000  -4.346
  9.800   6.004   1.500   0.134
  7.600   3.924   3.000  -2.116
  6.000   0.804   1.000  -3.336
  6.000   1.014   0.000  -4.676
  5.400   0.394  -0.200  -4.846
  7.200   1.494   0.000  -5.106
  7.400   3.324   1.000  -3.156
  8.400   4.054   3.200  -2.786
 12.600   8.184   0.500  -5.196
 10.400   7.534   0.000   0.504
  9.400   3.134   5.500  -2.136
  9.600   5.144   0.400  -1.786
 10.000   6.654  -2.200  -3.726
 11.000   5.554   7.000   3.034
  8.000   3.064   4.000  -1.066
  9.600   4.374   4.000  -1.646
 14.000   8.124   3.600   0.894
 13.600   9.254  -0.500  -1.236
 10.400   4.494   2.400   0.894
  9.600   5.454   2.400   0.844
 10.400   4.664   3.500  -2.046
 11.000   9.144   4.800   1.314
 10.200   4.194   2.600  -1.286
  6.500   1.424   1.500  -3.306
  6.200   2.944   1.200  -5.366
 10.000   5.024   4.800   0.694
  4.800   0.414   0.400  -4.506
  6.000   0.334   0.000  -7.276
  4.000  -0.906  -0.800  -7.116
  4.400  -0.976   0.600  -2.656
  2.000  -0.786   0.000  -2.836
  5.600  -0.946   0.000  -2.816
  7.000   0.754  -0.400  -5.636
  7.000   1.574  -2.000  -7.516
  5.000  -0.146  -0.200  -5.566
  7.200   0.134   1.400  -4.506
  7.200   0.894   1.400  -6.016
  5.500  -1.066   0.000  -5.326
  1.800  -5.576  -4.600 -12.286
  1.200  -5.496  -6.200 -17.116
  6.000  -2.406  -7.500 -15.876
 10.600   2.564  -5.000 -13.716
  8.400   1.734   1.800  -4.896
  6.400   1.424   1.400  -4.896
 10.000   5.814   3.800  -1.746
 17.000  10.104   3.600  -1.226
 11.600   7.404   5.200   0.664
  8.600   4.014   2.800  -0.626
  5.000   0.574   1.400  -3.686
  9.600   3.934  -0.800  -6.416
  9.000   3.934   0.600  -4.256
 11.600   7.404   2.600  -0.246
 15.000  10.454   8.000   2.614
 11.600   7.454   4.000   0.964
 12.200   7.044   3.600  -1.476
 13.000   7.384   3.400  -0.856
 11.600   6.224   8.200   2.554
 13.000   7.474   8.600   3.204
 13.000   9.054   8.600   3.094
 13.000   7.934   7.600   2.524
 11.800   6.514   6.800   1.114
 15.600   8.634   3.000  -1.176
 18.400  11.034  -1.000  -3.106
 11.000   5.234   3.000   0.584
 12.000   6.154   1.000  -2.316
 11.400   5.484   0.000  -3.516
 11.800   6.424  -2.000  -5.166
  9.000   3.734   3.600  -1.386
 10.200   5.434   2.600  -0.676
 14.200   9.944  -0.800  -1.116
  7.000   3.394   1.000  -0.746
 11.200   6.464   1.000  -1.496
 14.600   9.274  -0.800  -3.226
 17.000  10.704   0.600  -1.166
 16.400  10.194   7.000   1.134
 12.600   9.964   5.600   0.124
 10.400   5.554   1.800  -1.256
 11.000   5.204  -0.200  -3.116
 10.600   5.564   3.400  -0.356
 14.400   8.044   2.000  -2.296
 18.000   9.844   8.200   3.884
 19.400  13.174   5.000  -0.076
 10.000   4.824   1.000  -3.116
 13.800   7.644   0.000  -3.526
 19.400  13.134   5.600  -1.156
 13.600   6.624   3.000   1.044
 14.000   7.944   0.200  -0.446
 15.400  10.594   3.600  -0.346
 20.000  13.844   2.000  -0.246
 20.400  13.274   4.400   1.124
 16.800  11.764   4.400   1.674
 10.000   5.184   2.000  -0.666
 13.200   8.094  -0.200  -3.136
  7.600   1.614   0.000  -1.946
  2.000  -1.596   0.000  -2.806
  6.200   0.094   0.000  -6.626
  6.600   0.464   0.400  -7.126
  6.200  -0.276   1.600  -2.846
  8.200   2.254   4.400  -1.576
  8.400   2.974   1.200  -3.106
  3.800  -0.966  -0.600  -5.436
  9.200   4.184   0.000  -5.016
 15.600   9.334  -2.800  -5.286
 14.200   9.414   4.000   0.924
 14.800   8.604   3.400  -1.776
 12.000   5.914   1.400  -1.276
  9.600   4.104   1.200  -1.886
 11.000   5.454   3.000  -1.296
 18.000  11.044   5.400   1.494
 18.000  13.754   5.400   1.664
 13.600   8.544   4.200  -1.006
 13.200   7.044   4.800   0.664
 14.400   8.934   2.400  -1.566
  7.400   4.314   3.600  -0.886
 11.200   7.274   1.400  -0.476
 14.600   8.534   4.400   0.544
 12.000   5.784   3.000   0.234
 12.400   6.584   5.600   1.124
 13.600   6.414   5.400   1.364
 22.000  14.604   1.600   0.254
 24.000  16.184   4.200  -0.646
 16.000   9.754   3.000  -1.036
 18.000  11.284   2.600   1.464
 19.000  12.444   7.000   3.754
 17.200  12.194   7.000   4.454
 18.600  12.584   3.600   2.714
 21.000  14.274   4.000   0.894
 24.400  16.984   7.200   4.064
 29.000  20.604   8.000   4.804
 29.200  20.754   9.600   7.124
 29.600  22.114  10.800   9.024
 23.000  14.804   9.000   6.464
 19.800  11.664   8.600   5.174
 24.000  15.454  10.400   7.094
 25.000  20.134  13.800   7.224
 30.200  23.154  12.600   9.944
 24.800  21.464  13.200   9.724
 28.200  21.944  14.600  11.944
 26.200  20.424   8.400   7.004
 22.400  15.534   7.600   5.614
 28.400  20.674   7.000   5.144
 25.000  18.484  12.400   8.724
 21.600  14.024  10.600   7.404
 29.400  22.604   9.600   6.984
 20.600  16.854  12.800  10.124
 23.000  15.684  10.200   7.694
 16.600  10.744   9.000   4.204
 15.400   9.054   8.000   3.744
 17.000   9.984   6.400   2.894
 18.200  10.114   7.400   3.474
 18.800  11.634   9.600   3.814
 19.400  12.734  11.500   6.384
 20.400  13.104  12.600   6.294
 17.600   9.944  10.800   4.544
 18.600   9.414   8.000   4.274
 15.000   9.804   7.600   4.164
