  4.800   4.570   0.000  -1.380
  9.800   8.970   1.500   3.100
  7.600   6.890   3.000   0.850
  6.000   3.770   1.000  -0.370
  6.000   3.980   0.000  -1.710
  5.400   3.360  -0.200  -1.880
  7.200   4.460   0.000  -2.140
  7.400   6.290   1.000  -0.190
  8.400   7.020   3.200   0.180
 12.600  11.150   0.500  -2.230
 10.400  10.500   0.000   3.470
  9.400   6.100   5.500   0.830
  9.600   8.110   0.400   1.180
 10.000   9.620  -2.200  -0.760
 11.000   8.520   7.000   6.000
  8.000   6.030   4.000   1.900
  9.600   7.340   4.000   1.320
 14.000  11.090   3.600   3.860
 13.600  12.220  -0.500   1.730
 10.400   7.460   2.400   3.860
  9.600   8.420   2.400   3.810
 10.400   7.630   3.500   0.920
 11.000  12.110   4.800   4.280
 10.200   7.160   2.600   1.680
  6.500   4.390   1.500  -0.340
  6.200   5.910   1.200  -2.400
 10.000   7.990   4.800   3.660
  4.800   3.380   0.400  -1.540
  6.000   3.300   0.000  -4.310
  4.000   2.060  -0.800  -4.150
  4.400   1.990   0.600   0.310
  2.000   2.180   0.000   0.130
  5.600   2.020   0.000   0.150
  7.000   3.720  -0.400  -2.670
  7.000   4.540  -2.000  -4.550
  5.000   2.820  -0.200  -2.600
  7.200   3.100   1.400  -1.540
  7.200   3.860   1.400  -3.050
  5.500   1.900   0.000  -2.360
  1.800  -2.610  -4.600  -9.320
  1.200  -2.530  -6.200 -14.150
  6.000   0.560  -7.500 -12.910
 10.600   5.530  -5.000 -10.750
  8.400   4.700   1.800  -1.930
  6.400   4.390   1.400  -1.930
 10.000   8.780   3.800   1.220
 17.000  13.070   3.600   1.740
 11.600  10.370   5.200   3.630
  8.600   6.980   2.800   2.340
  5.000   3.540   1.400  -0.720
  9.600   6.900  -0.800  -3.450
  9.000   6.900   0.600  -1.290
 11.600  10.370   2.600   2.720
 15.000  13.420   8.000   5.580
 11.600  10.420   4.000   3.930
 12.200  10.010   3.600   1.490
 13.000  10.350   3.400   2.110
 11.600   9.190   8.200   5.520
 13.000  10.440   8.600   6.170
 13.000  12.020   8.600   6.060
 13.000  10.900   7.600   5.490
 11.800   9.480   6.800   4.080
 15.600  11.600   3.000   1.790
 18.400  14.000  -1.000  -0.140
 11.000   8.200   3.000   3.550
