 22.400  19.126  11.400   8.966
 18.200  15.756  12.200  11.576
 21.000  16.246  11.600   9.866
 22.000  19.296  11.000  11.266
 29.500  25.946   9.200  10.756
 29.400  26.286  12.400  12.776
 19.600  17.896  13.400  12.716
 29.800  25.136  10.400  12.196
 32.600  28.266  12.600  14.196
 29.600  27.446  15.000  17.726
 26.000  20.846  11.000  15.966
 28.200  23.686   9.400  13.586
 25.400  21.276  13.000  12.566
 31.600  26.566   9.000  11.476
 34.000  29.286  15.000  14.686
 35.800  31.726  16.200  17.156
 34.800  29.546  16.800  19.176
 38.200  33.596  14.500  16.606
 22.600  19.746  13.800  13.206
 21.200  16.816  12.600  11.616
 31.000  25.186  13.800  11.046
 34.000  29.456  14.000  14.606
 23.400  20.846  13.600  14.526
 32.000  25.356  11.400  13.856
 34.200  29.986  13.400  14.466
 24.200  20.316  14.400  12.956
 24.000  20.526  12.000  11.026
 25.400  21.876  10.400  10.386
 23.400  21.406  13.800  11.056
 30.800  26.116  10.600  12.616
 30.200  26.306  13.600  13.216
 21.400  19.296  13.800  14.366
 20.500  18.466  12.800  12.926
 22.400  19.976  15.000  13.696
 27.000  23.256  12.400  13.706
 33.500  29.296  10.600  12.086
 28.200  24.806  14.800  14.626
 22.500  19.256  13.400  13.066
 24.500  20.546  13.300  12.276
 24.400  21.476  12.000  10.826
 31.600  26.856  11.000  10.396
 34.500  33.366  12.200  14.106
 26.200  22.806  13.800  14.496
 23.600  20.796  13.400  12.876
 28.400  26.946   9.600  11.506
 22.000  18.746  14.600  13.346
 29.400  24.546  11.000  11.826
 34.700  30.496  10.900  14.456
 35.400  29.356  15.200  16.356
 37.800  33.936  13.800  17.296
 24.000  21.416  16.200  15.016
 33.000  29.276  12.600  13.296
 35.800  30.436  16.600  17.006
 34.000  30.786  15.500  15.096
 19.600  16.396  12.400  12.776
 31.000  25.896   9.000   9.896
 31.000  26.806  12.400  15.166
 25.600  22.306  10.400  13.166
 28.400  22.936  15.000  14.146
 31.400  26.396  14.800  14.786
 31.000  24.986  16.000  16.456
 22.800  19.316  14.000  13.486
 28.200  23.306  11.000  12.236
 30.800  26.366  12.500  14.216
 34.000  28.626  14.400  16.476
 33.000  27.756  15.400  18.056
 35.800  32.336  13.800  17.086
 35.800  33.116  16.900  18.616
 28.600  26.116  14.400  17.356
 21.000  18.616  11.600  12.196
 31.600  27.806   7.000  10.156
 35.000  31.316  12.600  16.346
 33.000  27.976  16.400  15.636
 22.000  17.746  14.400  13.896
 22.000  18.006  11.400  11.146
 30.600  27.916   6.000   8.886
 25.600  24.076  14.000  13.306
 19.200  18.176  13.000  12.136
 18.000  14.906   8.600   9.406
 18.500  15.286   8.400   8.636
 23.500  19.996   3.800   5.966
 15.400  20.366  10.200   9.896
 26.200  23.086   9.500  10.366
 28.000  24.026   6.600   7.716
 31.400  27.066   8.800  11.256
 28.600  24.766  12.600  11.926
 32.400  29.726  10.000  12.036
 27.200  26.046  14.000  15.326
 27.200  24.146  11.400  11.686
 27.400  23.986  13.200  13.806
 22.000  21.946  13.400  14.026
 27.800  24.126   8.800  11.586
 28.600  27.036  13.600  15.196
 26.000  24.476  16.400  17.216
 29.200  27.806  17.400  14.896
 31.000  28.106  17.400  17.066
 29.400  25.376  18.600  18.516
 28.200  27.566  17.400  18.846
 21.200  19.276  12.400  12.696
 13.800  16.846  11.000  10.796
 25.800  22.226  11.400  11.326
 27.000  25.526  15.200  14.336
 27.800  23.796  14.000  16.236
 29.400  24.926  13.000  14.556
 24.400  25.536  14.000  16.876
 16.000  16.766  13.000  13.176
 17.200  15.076  11.400  11.196
 16.600  13.476  12.200  11.076
 18.000  15.726  10.400   9.736
 20.000  16.856  10.400   9.126
 21.400  19.076   7.000  10.046
 24.600  21.756   6.800   9.796
 25.000  22.206  11.000  12.156
 24.400  22.936  12.400  12.726
 24.000  20.246  15.800  14.206
 27.400  24.306  12.200  13.706
 28.000  24.966  13.000  14.476
 27.000  24.816  10.500  14.446
 26.200  23.486  11.000  13.366
 26.000  23.266  10.400  12.936
 25.000  22.376   5.800  11.106
 25.000  21.956   5.800  11.016
 21.400  19.886  10.000  12.066
 23.400  20.816   8.200  11.396
 19.000  17.446  13.400  13.166
 23.200  20.036  12.400  13.006
 23.000  20.136  11.200  10.446
 19.000  16.776  12.800  13.166
 19.200  16.246  12.400  13.016
 16.500  15.546  10.400  10.196
 17.000  15.336   9.500   8.386
 20.400  19.576   9.400   9.066
 21.000  20.956  10.400  12.676
 22.000  20.736  10.400  11.036
 16.000  13.886   7.000   7.276
 15.200  14.086   2.400   4.396
 16.600  13.966   8.000   8.386
 13.400  12.466   7.200   7.436
 16.500  14.816   4.000   4.096
 20.800  17.976   8.600   6.826
 14.400  14.036   4.800   6.426
 13.000  11.936   2.400   4.266
 17.000  14.176   4.000   2.736
 16.000  17.116   3.200   5.776
 13.000  11.356   5.000   5.136
 11.400  10.046   3.800   2.296
 12.400   9.306   2.600   1.156
 14.500  11.176   3.000   0.926
 15.500  12.306   2.000   2.766
 18.400  16.476  -1.400   1.806
 14.500  13.426  -1.000   5.506
 15.500  12.946   1.600   5.476
 17.000  14.356   4.000   5.616
 17.500  14.496  10.500   8.306
 18.000  14.756  12.600   9.496
 14.800  11.956  11.200   9.026
 17.600  14.496  10.900   8.406
 11.800  12.376   6.600   5.196
 14.400  13.056   5.400   5.956
 13.000  11.066   6.000   5.346
 13.000  10.826   3.200   4.386
 10.000  12.056   1.600   2.706
 12.000  12.796   4.000   6.336
 11.000  12.706   3.200   4.366
 12.600  11.866   8.200   8.736
  8.600   8.496   6.400   5.826
 12.000  10.376   6.400   6.406
 13.600  12.206   4.000   5.436
 11.600  10.356   3.200   4.716
 11.000   8.086   2.200   0.666
 12.400  10.536  -1.400  -0.154
 13.200  12.486  -1.400   1.376
 11.000   7.716  -1.500   0.186
  7.000  10.466  -2.400  -0.204
  4.000  11.626  -1.000   1.456
  7.800  10.726  -0.600   0.616
 10.000   9.506  -1.400   0.786
 13.000   9.566   0.800   1.646
  8.600  10.306   0.800   1.476
 11.000  13.186   0.400   4.146
 12.000   8.636   5.400   5.996
  8.000   6.726   4.000   3.966
 11.400   8.966   0.000   0.836
  7.600   8.376  -2.800  -0.854
 13.600  10.956   4.000   4.026
  8.000   9.066   5.000   3.226
 10.600   8.736   4.000   4.916
  8.800  11.596   0.600   2.086
  8.800   9.086   5.600   4.156
 10.400   9.056   1.400   4.026
 13.200  11.386   1.000   2.846
  9.400   7.966   1.600   4.326
  8.600   7.026   4.400   2.486
  7.800   6.186   2.000   2.036
  4.600   3.996  -0.600   0.186
  3.600   1.516  -1.600  -2.354
  5.400   1.876  -0.400  -1.074
  7.200   4.576   0.000  -1.994
 12.400   9.726   5.000   5.586
  8.400   7.246   4.400   4.566
  9.000   7.976   3.400   1.956
 13.600  10.906   0.000   0.136
 10.400  10.446  -2.000   1.826
  9.800  12.206   1.600   4.596
 15.600  13.666   6.000   6.406
 10.600   8.766   5.400   5.536
  7.200   5.806   2.000   1.066
 10.000   5.666  -0.800  -2.244
 10.200  10.456  -4.400  -1.524
 10.300   8.366   0.400   0.646
  6.400   5.466  -0.600  -2.044
  6.000   5.926  -5.000  -4.764
  3.800   5.736  -1.500  -1.004
  4.000   4.736   0.000   1.576
  3.400   1.586  -1.400  -4.174
  0.400   2.216  -2.600  -5.514
  6.600   5.076  -3.800  -4.014
 -1.400  -1.694  -5.400  -4.314
  1.000   0.606  -3.200  -7.384
  0.500  -1.904  -2.000  -5.024
  1.000  -2.214  -2.800  -7.054
  2.200  -0.404  -9.500  -9.094
  1.600   0.586  -8.600  -8.574
  3.200   0.896  -7.400  -7.014
 -1.000   4.696  -9.800  -5.904
  1.000   6.176 -11.200  -4.704
  5.200   5.446  -6.000  -0.864
 -2.000   9.386  -6.500  -3.554
  1.200   5.636  -7.400  -2.174
  2.200   5.666  -0.400   0.226
  3.400   7.996   0.500   2.166
  7.600  10.856   0.800   4.156
 13.200   9.626   1.600   4.026
  9.000  10.866   2.200   4.506
 11.400  11.196   3.000   5.886
 12.400  11.546   2.400   2.386
 14.000  10.496   8.000   5.566
  9.000   8.776   6.400   6.996
  8.000   7.116   6.000   5.886
  8.000   8.146   5.000   3.796
 11.600  10.096   2.000   0.626
 12.000  11.146   2.800  -0.414
 20.000  14.586   7.400   6.356
 17.400  14.916   3.600   4.836
