
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-10,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a16894

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-06-14,14:09:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 198
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.0,0,321.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.023,27.90,Pressure_ib2,Pump

#PUMP_CORRECTION
825.36,4.670,16.1,7.1,142,0,186,1753,57
824.35,4.660,16.0,7.0,144,0,188,1764,57
823.15,4.670,15.8,6.9,145,0,190,1776,58
821.94,4.670,15.7,6.8,147,0,192,1789,58
820.54,4.650,15.6,6.7,149,0,194,1803,59
819.34,4.620,15.5,6.7,150,0,196,1816,59
818.14,4.620,15.3,6.6,152,0,198,1828,59
816.74,4.610,15.2,6.5,153,0,200,1843,59
815.55,4.610,15.1,6.5,153,0,202,1855,60
814.35,4.610,15.0,6.4,154,0,204,1867,60
813.36,4.540,14.9,6.4,154,0,206,1878,61
812.37,4.520,14.8,6.4,153,0,208,1888,61
811.38,4.520,14.6,6.3,152,0,210,1898,62
810.58,4.520,14.6,6.3,151,0,212,1907,61
809.59,4.560,14.6,6.2,150,0,214,1917,61
808.80,4.560,14.5,6.2,148,0,216,1925,60
807.82,4.560,14.5,6.1,147,0,218,1936,60
806.83,4.510,14.4,6.0,145,0,220,1946,60
805.85,4.460,14.3,5.9,144,0,222,1956,60
804.86,4.430,14.2,5.8,142,0,224,1967,60
803.88,4.420,14.1,5.8,141,0,226,1977,61
803.10,4.410,14.0,5.7,139,0,228,1985,61
802.12,4.400,13.9,5.7,138,0,230,1995,61
801.34,4.390,13.9,5.6,137,0,232,2004,61
800.36,4.380,13.7,5.6,135,0,234,2014,62
799.38,4.370,13.6,5.6,134,0,236,2024,63
798.41,4.370,13.5,5.7,133,0,238,2035,63
797.43,4.340,13.4,5.7,132,0,240,2045,62
796.46,4.340,13.3,5.8,132,0,242,2055,64
795.49,4.330,13.2,5.8,131,0,244,2065,64
794.71,4.320,13.1,5.9,131,0,246,2074,64
793.94,4.320,13.1,6.0,131,0,248,2082,64
793.16,4.290,13.0,6.1,131,0,250,2090,64
792.19,4.270,12.9,6.1,131,0,252,2100,64
791.03,4.220,12.8,6.2,132,0,254,2113,65
790.07,4.210,12.8,6.3,132,0,256,2123,65
789.10,4.200,12.6,6.4,132,0,258,2133,65
788.14,4.150,12.5,6.4,132,0,260,2143,65
786.99,4.150,12.4,6.4,132,0,262,2156,65
785.84,4.150,12.4,6.4,132,0,264,2168,65
784.88,4.140,12.3,6.3,132,0,266,2178,64
783.92,4.130,12.2,6.3,131,0,268,2189,65
782.77,4.140,12.0,6.2,130,0,270,2201,65
781.63,4.130,11.9,6.0,130,0,272,2213,65
780.48,4.110,11.8,5.9,128,0,274,2225,66
779.34,4.090,11.8,5.8,127,0,276,2238,66
778.39,4.080,11.6,5.7,126,0,278,2248,66
777.44,4.050,11.5,5.6,124,0,280,2258,67
776.30,4.050,11.3,5.5,123,0,282,2270,68
775.17,4.040,11.4,5.5,122,0,284,2283,67
774.22,4.040,11.3,5.5,121,0,286,2293,67
773.28,4.040,11.2,5.5,120,0,288,2303,67
772.14,4.030,11.1,5.6,119,0,290,2315,68
771.01,4.000,10.9,5.6,119,0,292,2328,69
769.88,4.000,10.8,5.7,118,0,294,2340,70
768.76,4.000,10.6,5.7,118,0,296,2352,70
767.44,4.000,10.6,5.7,118,0,298,2366,70
766.13,3.980,10.5,5.7,119,0,300,2381,70
765.01,3.980,10.4,5.8,119,0,302,2393,70
763.89,3.950,10.3,5.8,119,0,304,2405,71
762.96,3.940,10.2,5.9,120,0,306,2415,71
