
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-09,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A12553

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-02-12,12:04:00
* SOFTWARE: SNDPRO 1.32
* NO TROPOPAUSE FOUND
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
29.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.110,27.80,Pressure_ib2,Pump

#PUMP_CORRECTION
865.82,3.480,10.4,11.9,262,0,188,1460,37
864.97,3.490,10.4,12.0,262,0,190,1468,37
864.13,3.490,10.4,12.3,262,0,192,1476,37
862.86,3.500,10.3,12.3,262,0,194,1488,36
861.60,3.530,10.2,12.4,262,0,196,1500,36
860.55,3.560,10.1,12.4,263,0,198,1511,36
859.50,3.570,10.1,12.5,263,0,200,1521,36
858.66,3.570,10.0,12.9,263,0,202,1529,35
857.82,3.580,10.0,12.9,263,0,204,1537,35
856.98,3.580,9.9,13.0,264,0,206,1545,35
856.15,3.600,9.8,13.0,264,0,208,1553,35
855.10,3.610,9.8,13.0,264,0,210,1563,35
854.06,3.610,9.7,13.0,264,0,212,1573,34
853.23,3.610,9.6,12.9,264,0,214,1582,34
851.98,3.610,9.5,12.9,265,0,216,1594,34
851.14,3.620,9.4,12.8,265,0,218,1602,34
850.31,3.620,9.3,12.7,265,0,220,1610,35
850.00,3.630,9.3,12.7,266,3,221,1613,34
849.69,3.630,9.3,12.7,266,0,222,1616,34
848.86,3.650,9.2,12.6,266,0,224,1624,33
847.83,3.660,9.1,12.5,267,0,226,1634,33
846.79,3.660,9.1,12.4,267,0,228,1644,33
845.76,3.660,9.0,12.3,268,0,230,1654,33
844.73,3.660,8.9,12.2,268,0,232,1664,33
843.70,3.660,8.8,12.0,268,0,234,1675,33
842.87,3.690,8.7,11.8,268,0,236,1683,33
842.05,3.690,8.7,11.5,268,0,238,1691,33
841.02,3.730,8.6,11.3,268,0,240,1701,33
840.20,3.730,8.5,11.0,268,0,242,1709,33
839.38,3.730,8.4,10.7,268,0,244,1717,33
838.36,3.730,8.4,10.4,268,0,246,1727,33
837.54,3.730,8.3,10.1,268,0,248,1735,32
836.72,3.730,8.2,10.0,268,0,250,1743,32
835.91,3.730,8.2,9.9,268,0,252,1751,32
834.68,3.740,8.1,10.0,269,0,254,1763,30
833.46,3.750,8.1,10.3,269,0,256,1775,30
832.44,3.760,7.9,10.5,270,0,258,1785,30
831.22,3.780,7.9,10.8,271,0,260,1797,30
830.01,3.780,7.7,11.1,272,0,262,1809,30
828.79,3.800,7.6,11.4,273,0,264,1822,30
