#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -10.44  -11.18  -13.81  -13.34  -11.81  -12.04  -12.84  -13.04  -12.99  -12.93  -10.71  -10.36  -11.71  -11.29  -11.15  -11.64  -11.11   -9.10   -8.47   -8.65   -9.66  -10.29  -11.17  -12.89
    2.00  -14.01  -13.46  -12.91  -14.71  -15.57  -15.76  -14.86  -14.93  -14.92  -14.46  -13.86  -13.78  -12.73  -13.40  -14.33  -10.49   -8.80  -10.60  -12.61  -13.06  -12.38  -10.98  -11.17  -12.39
    3.00  -17.45  -19.43  -20.26  -20.67  -21.38  -22.97  -23.12  -21.74  -21.33  -20.97  -21.10  -20.65  -20.18  -19.43  -20.34  -21.46  -20.30  -18.18  -17.70  -20.04  -21.10  -21.29  -20.26  -20.18
   10.00  -39.13  -39.64  -39.87  -39.36  -39.56  -40.19  -39.67  -39.17  -38.96  -39.16  -39.59  -39.59  -39.67  -39.64  -39.50  -39.21  -38.72  -38.17  -38.18  -38.51  -39.11  -40.27  -40.98  -41.25
   20.00  -47.89  -48.24  -48.48  -48.02  -47.00  -46.53  -46.53  -46.54  -47.15  -47.30  -46.87  -46.69  -46.67  -47.00  -47.78  -48.34  -48.11  -46.90  -46.10  -46.15  -46.70  -47.07  -47.15  -47.52
   30.00  -51.23  -51.20  -51.53  -51.85  -51.98  -51.93  -51.99  -52.15  -51.80  -51.15  -50.67  -50.69  -50.71  -50.67  -50.72  -51.12  -51.90  -52.42  -52.43  -52.09  -51.74  -51.29  -50.91  -50.97
   50.00  -56.11  -56.37  -56.35  -56.17  -55.40  -54.63  -54.13  -54.11  -54.68  -55.48  -56.25  -56.86  -56.91  -56.19  -55.48  -54.48  -53.83  -53.92  -54.38  -55.03  -55.64  -55.79  -55.54  -55.90
   70.00  -60.61  -60.43  -59.93  -59.82  -60.11  -60.22  -60.04  -59.82  -60.04  -60.43  -60.88  -61.07  -61.20  -61.09  -60.85  -60.85  -60.48  -59.84  -59.71  -59.43  -59.28  -59.67  -60.55  -60.77
  100.00  -63.71  -64.08  -64.24  -64.23  -64.06  -63.96  -63.82  -63.51  -63.10  -62.78  -62.42  -62.34  -62.47  -63.16  -63.53  -63.51  -63.62  -63.77  -63.57  -62.94  -62.74  -62.50  -61.84  -61.33
  125.00  -66.33  -66.25  -66.01  -65.73  -65.68  -65.77  -66.05  -66.32  -66.31  -66.10  -66.25  -66.36  -65.83  -65.20  -64.73  -64.11  -63.72  -63.31  -63.26  -63.56  -63.44  -63.00  -63.17  -63.44
  150.00  -66.11  -66.45  -66.75  -66.65  -66.39  -66.19  -66.17  -66.27  -66.64  -67.08  -67.06  -66.95  -66.76  -66.44  -66.21  -66.04  -66.18  -66.43  -66.16  -65.34  -64.80  -64.70  -64.93  -64.79
  175.00  -63.14  -62.88  -62.80  -62.84  -62.84  -62.80  -62.74  -62.65  -62.39  -62.34  -62.52  -62.28  -62.22  -62.27  -62.25  -62.14  -61.95  -61.83  -61.72  -61.52  -61.25  -61.13  -61.27  -61.31
  200.00  -56.63  -56.67  -56.64  -56.59  -56.49  -56.36  -56.20  -56.12  -56.03  -55.91  -56.08  -56.10  -56.13  -56.15  -56.13  -56.08  -56.02  -56.08  -56.27  -56.50  -56.62  -56.65  -56.67  -56.88
  225.00  -49.84  -49.84  -49.91  -49.96  -50.02  -49.95  -49.78  -49.72  -49.71  -49.62  -50.00  -50.19  -50.35  -50.54  -50.76  -50.90  -50.92  -51.00  -51.13  -51.37  -51.72  -51.99  -52.14  -52.10
  250.00  -43.69  -43.62  -43.68  -43.74  -43.82  -43.90  -43.88  -43.80  -43.82  -43.93  -44.36  -44.69  -45.00  -45.26  -45.47  -45.62  -45.74  -45.86  -45.98  -46.21  -46.50  -46.75  -46.83  -46.81
  300.00  -33.26  -33.20  -33.31  -33.48  -33.57  -33.62  -33.69  -33.71  -33.71  -33.73  -33.59  -33.86  -34.09  -34.24  -34.56  -34.90  -35.15  -35.33  -35.50  -35.76  -36.04  -36.27  -36.07  -36.30
  350.00  -24.91  -24.93  -24.93  -24.89  -24.88  -25.04  -25.24  -25.37  -25.40  -25.36  -25.27  -25.36  -25.32  -25.58  -25.94  -26.18  -26.33  -26.41  -26.42  -26.46  -26.52  -26.60  -26.75  -27.01
  400.00  -17.74  -17.51  -17.36  -17.42  -17.57  -17.63  -17.76  -17.97  -18.15  -18.19  -18.42  -18.55  -18.21  -17.92  -17.91  -18.11  -18.19  -18.24  -18.26  -18.26  -18.29  -18.35  -18.51  -18.78
  450.00  -11.44  -11.44  -11.55  -11.53  -11.58  -11.72  -11.79  -12.00  -12.24  -12.27  -12.20  -12.26  -12.29  -12.31  -12.38  -12.67  -12.75  -12.58  -12.45  -12.38  -12.37  -12.47  -12.73  -13.17
  500.00   -6.71   -7.09   -7.33   -7.40   -7.37   -7.50   -7.48   -7.50   -7.51   -7.45   -6.83   -6.54   -6.74   -7.15   -7.56   -8.03   -8.08   -8.02   -8.12   -8.03   -7.87   -7.85   -8.07   -8.16
  550.00   -3.76   -3.87   -3.70   -3.53   -3.50   -3.52   -3.36   -3.30   -3.27   -3.24   -2.68   -2.64   -2.64   -2.78   -2.83   -3.01   -3.08   -3.46   -3.70   -3.93   -3.91   -3.81   -3.65   -3.53
  600.00   -0.33   -0.11    0.02    0.06    0.12    0.07   -0.11    0.02    0.41    0.47    0.09    0.13    0.34    0.39    0.42    0.50    0.46   -0.11   -0.27   -0.26   -0.31   -0.11    0.40    0.53
  650.00    3.51    3.73    3.62    3.54    3.44    3.26    3.09    2.93    3.00    3.34    3.29    3.26    3.15    3.31    3.53    3.66    3.35    3.17    3.21    3.19    3.18    3.28    3.55    3.78
  700.00    6.82    6.75    6.64    6.57    6.48    6.20    6.06    6.01    5.78    6.06    6.64    6.26    6.09    6.31    6.48    6.42    6.19    6.29    6.28    6.37    6.27    6.29    6.19    6.29
  750.00   10.76   10.08    9.69    9.44    9.27    9.03    8.77    8.58    8.46    9.18    9.27    9.12    9.04    9.19    9.26    9.22    9.25    9.84    9.71    9.32    9.36    9.22    9.78    9.64
  775.00   12.76   11.96   11.39   10.99   10.76   10.65   10.51   10.31   10.06   10.54   10.62   10.85   10.78   10.88   10.96   11.13   11.50   11.86   11.47   10.94   10.75   10.72   11.59   11.27
  800.00   14.68   13.91   13.23   12.60   12.24   12.16   12.19   12.09   11.90   11.91   12.17   12.70   12.52   12.74   13.11   13.49   13.99   13.79   13.36   12.77   12.22   12.04   12.87   12.34
  825.00   16.36   15.71   14.97   14.05   13.18   12.78   12.68   12.77   13.16   13.70   14.22   14.31   14.57   15.10   15.49   15.83   15.97   15.40   14.99   14.32   13.56   12.99   13.57   13.10
  850.00   17.82   17.35   16.61   15.36   13.90   13.14   12.99   13.05   13.61   14.80   16.03   15.86   16.53   17.05   17.49   17.85   17.41   16.53   16.08   15.25   14.31   13.62   13.92   13.74
  875.00   18.98   18.69   18.02   16.64   14.85   13.95   13.79   13.91   14.20   15.15   15.97   16.82   18.25   18.95   19.43   19.54   18.22   17.09   16.44   15.47   14.66   13.94   14.17   14.06
  900.00   19.65   19.67   19.24   18.01   16.34   15.17   14.71   14.82   15.10   15.70   16.18   17.50   19.47   20.49   20.83   20.37   18.36   17.01   16.42   15.71   15.06   14.31   14.34   13.98
  925.00   19.79   20.24   20.25   19.52   18.18   16.76   15.92   15.73   15.91   16.39   16.74   18.86   20.44   21.20   21.06   20.04   17.90   16.69   16.23   16.07   15.82   15.19   15.00   14.66
  950.00   19.51   20.02   20.49   20.42   19.69   18.41   17.61   17.12   17.13   17.78   18.36   20.29   21.62   21.64   21.43   20.36   18.66   17.47   17.17   16.87   16.83   16.48   16.46   15.90
  975.00   20.68   21.19   21.73   21.87   21.29   20.06   19.13   18.66   18.62   19.10   19.65   21.45   22.27   21.97   21.68   20.76   19.47   18.45   18.28   18.36   18.24   18.06   17.85   17.36
 1000.00   21.83   22.19   22.52   22.74   22.42   21.52   20.72   20.32   20.29   20.82   21.32   23.07   23.41   22.66   22.56   21.85   20.89   19.94   19.87   19.96   19.89   19.79   19.55   19.11
