#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -2.16   -2.82   -3.88   -6.00   -7.63   -6.50   -4.74   -3.47   -4.68   -5.82   -4.14   -2.01   -1.84   -3.19   -4.00   -4.20   -3.41   -0.20    0.10   -0.14   -1.40   -1.62   -1.97   -2.28
    2.00   -3.62   -4.29   -4.86   -5.46   -6.56   -8.14   -9.10   -7.97   -5.98   -5.19   -4.91   -5.56   -4.76   -3.21   -0.26    0.88   -0.68   -3.19   -3.50   -4.47   -3.90   -2.79   -2.03   -1.73
    3.00  -13.83  -12.90  -12.42  -12.36  -12.64  -13.38  -14.86  -15.78  -14.57  -12.98  -11.81  -12.07  -12.78  -13.40  -13.61  -11.97   -9.36   -8.22   -8.91  -10.04  -12.87  -13.11  -13.74  -13.33
   10.00  -38.73  -39.45  -39.81  -39.61  -39.30  -39.02  -38.47  -38.02  -37.41  -37.67  -38.82  -39.31  -39.28  -38.25  -36.60  -35.39  -35.45  -36.91  -38.97  -39.22  -38.65  -38.09  -38.64  -38.53
   20.00  -48.16  -48.46  -49.20  -49.63  -49.71  -49.50  -49.39  -49.65  -49.48  -48.21  -47.24  -47.58  -48.52  -49.05  -49.11  -48.52  -48.48  -48.51  -48.55  -48.38  -48.04  -47.97  -47.18  -47.40
   30.00  -55.63  -55.24  -54.23  -53.63  -53.84  -54.13  -54.09  -53.78  -53.50  -53.58  -53.58  -54.04  -54.69  -54.99  -55.16  -55.50  -55.20  -54.56  -53.64  -52.97  -53.03  -52.64  -53.00  -53.63
   50.00  -58.93  -58.75  -58.24  -57.70  -57.76  -58.24  -58.76  -58.99  -59.01  -58.99  -58.95  -58.72  -58.45  -58.41  -57.94  -57.55  -57.92  -58.38  -58.61  -58.52  -58.70  -59.30  -59.31  -58.71
   70.00  -57.80  -58.02  -58.42  -58.58  -58.49  -58.25  -57.99  -57.81  -57.94  -58.20  -58.30  -58.25  -57.68  -57.47  -58.00  -58.25  -58.22  -58.22  -58.47  -58.70  -58.38  -57.87  -57.93  -58.16
  100.00  -58.61  -58.46  -58.22  -58.02  -58.04  -58.24  -58.55  -58.76  -58.43  -57.93  -58.23  -58.01  -57.91  -57.92  -58.06  -57.99  -57.66  -57.28  -57.04  -57.07  -57.19  -57.10  -56.86  -56.87
  125.00  -58.17  -58.18  -58.10  -57.89  -57.64  -57.40  -57.16  -57.15  -57.27  -56.85  -56.28  -56.10  -55.71  -55.27  -55.07  -55.02  -55.10  -55.23  -55.26  -55.10  -55.03  -54.86  -55.04  -54.75
  150.00  -54.90  -54.80  -54.66  -54.54  -54.48  -54.54  -54.56  -54.21  -54.04  -53.88  -53.32  -53.11  -53.08  -53.01  -52.94  -52.87  -52.87  -53.02  -53.28  -53.37  -53.35  -53.32  -53.23  -53.14
  175.00  -56.46  -56.14  -55.82  -55.50  -55.08  -54.52  -54.15  -53.87  -53.35  -53.10  -52.85  -52.89  -52.93  -53.02  -53.02  -52.99  -52.94  -52.90  -53.09  -53.29  -53.17  -52.86  -52.22  -52.02
  200.00  -58.04  -58.42  -58.99  -59.17  -58.68  -57.79  -56.66  -55.32  -54.07  -53.31  -52.46  -52.68  -53.00  -53.36  -53.49  -53.41  -53.33  -53.37  -53.50  -53.47  -53.27  -52.84  -52.13  -51.90
  225.00  -56.45  -56.71  -56.91  -56.71  -56.46  -56.31  -56.06  -55.42  -54.26  -52.81  -52.94  -53.97  -54.45  -53.94  -53.87  -54.15  -54.31  -54.26  -54.10  -53.83  -53.41  -53.05  -52.84  -52.62
  250.00  -52.37  -52.55  -52.54  -52.25  -52.02  -52.04  -52.12  -52.03  -51.62  -51.11  -51.27  -52.13  -52.21  -52.27  -52.42  -52.77  -53.13  -53.44  -53.63  -53.61  -53.41  -52.99  -52.77  -52.92
  300.00  -43.09  -43.08  -43.12  -43.40  -43.73  -43.95  -44.06  -44.24  -44.40  -44.99  -45.67  -45.52  -45.81  -46.02  -45.99  -45.77  -45.67  -45.66  -45.61  -45.54  -45.66  -45.92  -46.10  -46.18
  350.00  -34.47  -34.52  -34.55  -34.74  -35.03  -35.39  -35.75  -36.29  -37.05  -37.47  -37.40  -37.15  -36.96  -36.88  -36.92  -36.82  -36.63  -36.49  -36.38  -36.43  -36.60  -36.86  -37.08  -37.35
  400.00  -26.95  -26.88  -26.87  -26.94  -27.10  -27.37  -27.84  -28.35  -29.16  -29.84  -29.70  -29.14  -28.71  -28.54  -28.58  -28.63  -28.57  -28.46  -28.43  -28.40  -28.51  -28.82  -29.01  -29.37
