#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -10.07  -10.85  -12.30  -12.92  -14.46  -16.04  -17.38  -18.16  -17.77  -16.69  -14.65  -12.57  -11.22  -10.76  -11.47  -10.68  -10.33   -9.97   -7.38   -7.79  -10.36  -10.44   -9.75   -8.38
    2.00  -11.33  -12.99  -13.93  -13.23  -13.72  -13.47  -13.29  -13.73  -14.99  -16.20  -15.78  -15.94  -16.39  -15.10  -14.74  -15.73  -14.64  -13.54  -14.51  -13.33  -13.32  -14.10  -13.26  -13.36
    3.00  -20.01  -19.80  -20.26  -19.99  -20.75  -20.83  -19.63  -18.74  -18.43  -19.33  -20.14  -18.78  -18.89  -20.42  -20.20  -18.96  -19.39  -19.79  -20.55  -20.84  -20.44  -21.94  -21.91  -21.13
   10.00  -39.98  -40.52  -40.76  -40.85  -41.57  -40.68  -39.87  -40.34  -40.09  -40.10  -39.67  -39.23  -38.97  -38.54  -38.53  -38.95  -39.07  -39.41  -39.62  -39.65  -39.96  -39.27  -38.79  -39.47
   20.00  -47.65  -47.01  -45.67  -44.85  -45.24  -46.40  -46.92  -47.20  -47.35  -47.57  -48.19  -48.27  -48.16  -48.24  -47.60  -46.59  -46.06  -45.80  -45.34  -45.27  -45.79  -46.60  -46.43  -46.92
   30.00  -51.59  -51.84  -51.98  -51.71  -51.13  -51.28  -51.99  -52.17  -51.89  -51.54  -51.17  -50.71  -50.42  -51.03  -51.78  -51.93  -51.65  -51.53  -51.43  -50.70  -49.79  -49.68  -50.61  -50.64
   50.00  -56.94  -57.16  -57.58  -57.50  -57.15  -56.59  -56.28  -56.59  -57.07  -57.51  -57.50  -57.56  -57.06  -56.53  -56.69  -56.54  -56.43  -56.40  -56.42  -56.56  -56.72  -56.53  -56.43  -56.34
   70.00  -61.54  -61.32  -61.36  -61.70  -62.04  -61.82  -61.07  -60.60  -60.41  -60.41  -61.18  -61.62  -62.20  -62.27  -62.09  -61.77  -61.12  -60.55  -59.94  -59.49  -59.80  -60.20  -60.87  -60.78
  100.00  -63.38  -63.52  -63.76  -64.03  -64.40  -64.73  -64.82  -64.73  -64.62  -64.53  -64.33  -63.68  -62.98  -62.50  -62.60  -63.15  -63.60  -63.60  -63.72  -63.41  -62.85  -62.59  -62.70  -63.09
  125.00  -62.89  -62.48  -62.11  -61.86  -61.76  -61.78  -61.84  -61.88  -61.87  -61.84  -61.73  -61.66  -61.54  -61.21  -60.87  -60.79  -61.22  -61.34  -61.26  -61.42  -61.27  -60.96  -60.91  -61.13
  150.00  -58.65  -58.39  -58.04  -57.77  -57.60  -57.62  -57.83  -58.05  -58.17  -58.20  -57.95  -58.27  -58.70  -58.81  -58.71  -58.44  -58.31  -58.40  -58.22  -58.25  -58.31  -58.03  -57.80  -57.84
  175.00  -54.13  -54.09  -54.03  -53.98  -53.99  -54.14  -54.35  -54.42  -54.51  -54.67  -54.05  -54.20  -54.71  -55.17  -55.22  -55.03  -54.82  -54.84  -54.87  -54.76  -54.71  -54.64  -53.98  -53.98
  200.00  -51.98  -52.17  -52.36  -52.57  -52.71  -52.86  -53.15  -53.51  -53.78  -54.04  -53.78  -54.08  -54.47  -54.91  -55.02  -54.69  -54.24  -53.78  -53.65  -53.63  -53.61  -53.79  -54.08  -54.08
  225.00  -50.47  -50.88  -51.31  -51.67  -51.90  -52.16  -52.43  -52.60  -52.61  -52.52  -52.29  -52.28  -52.34  -52.37  -52.43  -52.49  -52.50  -52.36  -52.15  -51.85  -51.64  -51.52  -52.00  -52.16
  250.00  -47.25  -47.41  -47.49  -47.70  -47.99  -48.21  -48.31  -48.33  -48.27  -48.17  -48.03  -47.93  -47.86  -47.76  -47.62  -47.49  -47.35  -47.17  -47.07  -47.16  -47.15  -47.07  -47.40  -47.44
  300.00  -38.61  -38.69  -38.66  -38.52  -38.39  -38.28  -38.28  -38.40  -38.47  -38.42  -38.28  -37.89  -37.59  -37.45  -37.39  -37.35  -37.31  -37.30  -37.29  -37.26  -37.31  -37.30  -37.00  -36.96
  350.00  -30.10  -30.19  -30.24  -30.20  -30.10  -29.93  -29.72  -29.55  -29.46  -29.37  -29.33  -29.10  -28.90  -28.73  -28.63  -28.56  -28.54  -28.54  -28.62  -28.78  -28.86  -28.94  -28.74  -28.53
  400.00  -22.50  -22.56  -22.62  -22.57  -22.45  -22.30  -22.13  -21.95  -21.82  -21.72  -21.81  -21.64  -21.41  -21.19  -21.11  -21.09  -21.09  -21.15  -21.33  -21.56  -21.74  -21.89  -21.90  -21.62
  450.00  -15.15  -15.27  -15.38  -15.39  -15.27  -15.14  -15.01  -14.84  -14.70  -14.61  -14.66  -14.57  -14.51  -14.48  -14.56  -14.67  -14.74  -14.74  -14.80  -14.87  -14.93  -15.04  -15.06  -15.18
