#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -11.62  -13.28  -15.45  -15.03  -15.08  -15.14  -14.45  -12.71  -12.17  -11.39  -11.70  -10.43   -8.78   -8.21   -7.25   -8.17  -10.74  -11.90  -11.37  -10.17   -9.98  -11.40  -14.02  -16.25
    2.00   -5.19   -6.64   -7.48   -9.24  -10.40  -11.57  -12.41  -13.17  -13.93  -14.23  -15.14  -15.37  -13.85  -12.92  -10.67   -6.47   -3.44   -2.85   -3.25   -4.83   -5.03   -6.17   -7.00   -6.81
    3.00  -12.04  -11.70  -11.80  -13.50  -14.43  -15.37  -16.45  -17.05  -17.94  -18.51  -18.07  -19.49  -19.85  -19.47  -18.98  -19.01  -18.65  -18.13  -18.33  -17.71  -16.23  -12.90  -12.38  -13.21
   10.00  -41.43  -41.74  -41.24  -40.68  -40.51  -41.83  -43.21  -44.10  -44.75  -45.40  -45.05  -42.89  -40.45  -39.14  -38.90  -39.34  -40.16  -41.22  -41.90  -42.18  -42.75  -42.84  -43.27  -42.24
   20.00  -47.25  -47.88  -48.45  -48.34  -47.37  -47.04  -47.43  -47.57  -47.32  -46.48  -46.11  -46.54  -47.12  -47.92  -48.26  -48.18  -47.80  -47.36  -47.41  -46.73  -45.91  -45.90  -46.62  -47.48
   30.00  -52.90  -52.86  -52.70  -52.45  -52.35  -52.00  -51.25  -50.36  -49.88  -50.27  -50.43  -50.70  -51.20  -51.78  -52.22  -51.91  -51.54  -51.55  -51.57  -51.54  -51.53  -51.46  -51.49  -51.48
   50.00  -56.22  -56.47  -56.95  -57.51  -57.80  -57.65  -57.18  -56.47  -56.20  -55.82  -56.18  -56.32  -56.49  -56.34  -55.89  -55.73  -55.94  -56.21  -55.95  -55.89  -55.87  -56.14  -56.40  -56.31
   70.00  -59.11  -59.10  -58.70  -58.45  -58.80  -59.46  -59.63  -59.24  -59.03  -58.92  -59.09  -59.28  -59.03  -59.29  -59.81  -59.90  -59.69  -58.82  -58.37  -58.42  -58.68  -58.22  -58.44  -58.27
  100.00  -60.14  -60.42  -60.85  -60.95  -60.17  -59.31  -59.59  -60.47  -60.49  -60.05  -60.36  -60.77  -60.73  -60.67  -60.51  -60.51  -60.34  -60.49  -60.47  -60.64  -60.71  -60.41  -60.46  -60.58
  125.00  -59.93  -59.58  -59.71  -60.29  -60.81  -60.69  -59.83  -59.78  -60.59  -61.07  -60.14  -59.71  -59.86  -59.92  -59.47  -59.76  -59.36  -59.62  -59.49  -59.44  -59.28  -59.48  -59.21  -59.48
