#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -9.49  -10.10  -10.88  -11.74  -12.24  -12.77  -11.66  -11.45  -11.88  -11.90  -10.78   -8.84   -7.78   -7.21   -4.45   -1.23   -0.01   -0.53   -0.87   -1.83   -3.23   -4.62   -6.57   -8.61
    2.00   -3.48   -3.70   -3.16   -3.49   -5.33   -7.27   -7.61   -8.20   -8.22   -8.55   -9.42   -9.97  -10.11   -9.77   -8.15   -6.85   -5.70   -3.08   -0.82    0.14    0.08   -0.28    0.01   -0.41
    3.00   -8.46   -8.85   -9.21   -9.40  -11.06  -11.89  -11.44  -10.37   -9.70   -9.58   -9.41   -8.91  -10.21  -12.02  -12.77  -13.07  -13.03  -12.59  -11.66  -10.80  -10.32   -9.72   -8.05   -7.49
   10.00  -38.64  -39.52  -39.23  -38.44  -38.14  -38.36  -38.41  -39.18  -39.52  -39.05  -38.37  -37.30  -37.09  -37.63  -37.73  -37.16  -36.49  -36.10  -36.19  -36.54  -37.04  -37.57  -37.94  -37.46
   20.00  -48.64  -49.02  -49.10  -48.41  -47.94  -48.47  -48.33  -47.97  -47.71  -47.40  -47.87  -47.80  -47.15  -46.85  -47.03  -47.31  -47.26  -47.45  -47.95  -48.60  -48.92  -48.85  -48.13  -47.81
   30.00  -52.16  -52.40  -52.96  -53.51  -53.26  -52.86  -52.38  -51.90  -51.84  -52.32  -52.32  -53.02  -53.52  -53.77  -53.64  -53.38  -52.78  -51.84  -51.16  -50.71  -50.97  -51.32  -51.70  -51.87
   50.00  -56.92  -56.96  -57.03  -57.27  -57.67  -58.17  -58.66  -58.97  -58.89  -58.54  -57.67  -56.88  -56.24  -56.07  -56.35  -56.98  -57.70  -58.05  -58.24  -58.40  -58.24  -57.76  -57.55  -57.67
   70.00  -59.73  -59.52  -59.49  -59.55  -59.82  -60.06  -60.24  -60.22  -59.94  -59.83  -60.22  -60.58  -60.92  -61.12  -61.17  -60.96  -60.77  -60.61  -60.27  -60.30  -60.42  -60.56  -60.49  -60.26
  100.00  -61.22  -61.17  -61.11  -61.22  -61.63  -62.01  -62.51  -63.10  -63.46  -63.48  -63.09  -62.75  -62.56  -62.68  -63.00  -63.27  -63.47  -63.71  -63.85  -63.92  -63.81  -63.53  -62.96  -63.08
  125.00  -59.76  -59.97  -60.08  -60.18  -60.43  -60.75  -61.17  -61.83  -62.57  -63.20  -63.41  -63.46  -63.33  -63.21  -63.12  -63.06  -63.20  -63.47  -63.73  -63.91  -64.02  -63.99  -63.70  -63.37
  150.00  -58.61  -59.88  -60.50  -60.62  -60.58  -60.48  -60.47  -60.66  -61.03  -61.62  -62.16  -62.78  -62.82  -62.64  -62.47  -62.12  -61.83  -61.88  -62.18  -62.48  -62.77  -62.89  -62.77  -62.71
  175.00  -57.31  -57.05  -57.80  -59.20  -60.19  -60.74  -61.04  -61.32  -61.51  -61.48  -61.59  -61.42  -61.27  -61.02  -60.80  -60.66  -60.41  -60.13  -59.99  -59.92  -59.94  -60.01  -60.16  -60.35
  200.00  -56.21  -57.17  -57.93  -57.85  -57.52  -57.35  -57.02  -56.83  -56.91  -56.97  -57.10  -56.96  -57.02  -57.08  -57.02  -56.86  -56.65  -56.41  -56.23  -56.09  -56.04  -56.08  -56.31  -56.53
  225.00  -53.51  -53.54  -53.45  -53.32  -53.27  -53.20  -52.93  -52.59  -52.48  -52.46  -52.43  -52.39  -52.38  -52.36  -52.34  -52.30  -52.23  -52.09  -51.96  -51.84  -51.81  -51.87  -51.86  -51.94
  250.00  -47.95  -47.94  -47.86  -47.93  -47.98  -47.96  -48.13  -48.21  -48.06  -47.88  -47.68  -47.54  -47.54  -47.59  -47.61  -47.65  -47.64  -47.53  -47.42  -47.33  -47.28  -47.29  -47.15  -47.16
  300.00  -40.16  -39.65  -39.13  -38.83  -38.79  -38.86  -38.59  -38.20  -37.99  -38.03  -38.05  -38.08  -38.09  -38.04  -37.96  -38.03  -38.25  -38.42  -38.47  -38.44  -38.38  -38.30  -38.35  -38.45
  350.00  -31.54  -31.43  -31.10  -30.52  -30.07  -29.72  -29.73  -29.66  -29.59  -29.60  -29.61  -29.52  -29.43  -29.40  -29.42  -29.43  -29.50  -29.57  -29.68  -29.79  -29.85  -29.96  -30.42  -30.54
  400.00  -24.06  -23.72  -23.30  -22.96  -22.43  -21.96  -21.80  -21.60  -21.46  -21.49  -21.67  -21.78  -21.92  -21.98  -21.92  -21.75  -21.63  -21.59  -21.66  -21.79  -21.97  -22.17  -22.51  -22.59
  450.00  -18.05  -17.79  -17.61  -17.50  -17.31  -17.19  -16.59  -15.94  -15.66  -15.22  -15.22  -15.12  -15.08  -15.16  -15.31  -15.45  -15.52  -15.46  -15.36  -15.36  -15.38  -15.53  -15.98  -16.08
  500.00  -13.75  -13.22  -12.83  -12.59  -12.44  -12.31  -12.00  -11.64  -11.22  -10.97  -10.52   -9.90   -9.51   -9.37   -9.33   -9.32   -9.38   -9.50   -9.63   -9.82   -9.93   -9.89  -10.26  -10.27
  550.00   -9.49   -9.09   -8.78   -8.46   -8.11   -7.70   -7.25   -7.02   -6.63   -6.37   -5.93   -5.61   -5.27   -5.10   -4.96   -4.73   -4.58   -4.57   -4.56   -4.76   -5.06   -5.37   -5.75   -6.09
  600.00   -5.56   -5.17   -5.00   -4.81   -4.49   -4.01   -3.54   -3.34   -2.93   -2.59   -2.29   -2.20   -2.04   -2.03   -1.93   -1.62   -1.34   -1.17   -0.94   -0.96   -1.12   -1.26   -1.07   -1.42
  650.00   -2.61   -2.23   -1.96   -1.76   -1.49   -1.10   -0.66   -0.40    0.01    0.34    0.48    0.51    0.46    0.50    0.27   -1.10   -1.42   -1.52   -1.00    0.04    1.13    1.89    2.90    2.85
  700.00    1.04    1.17    1.21    1.21    1.27    1.38    1.55    1.72    2.19    2.66    3.01    3.29    3.54    2.32    1.96    2.55    3.01    3.31    3.19    3.22    3.43    3.61    4.57    5.30
  750.00    5.65    5.51    5.39    5.28    5.21    5.17    5.11    5.07    5.14    5.30    5.85    5.73    5.84    6.55    7.22    7.91    8.46    8.80    8.87    8.72    8.59    8.45    8.39    8.28
  775.00    8.11    7.83    7.62    7.44    7.33    7.25    7.19    7.15    7.19    7.30    7.83    7.67    8.43    9.11    9.83   10.49   11.06   11.42   11.58   11.40   11.20   11.03   11.09   10.94
  800.00   10.48   10.15    9.88    9.64    9.48    9.38    9.31    9.30    9.33    9.44    9.65   10.15   10.96   11.65   12.38   13.01   13.60   13.98   14.21   14.03   13.71   13.53   13.68   13.51
  825.00   12.76   12.42   12.15   11.93   11.75   11.61   11.50   11.49   11.56   11.61   11.75   12.64   13.42   14.18   14.95   15.57   16.14   16.47   16.76   16.53   16.13   15.93   16.19   15.98
  850.00   14.87   14.59   14.32   14.10   13.92   13.78   13.69   13.69   13.75   13.68   14.18   15.09   15.91   16.69   17.46   18.10   18.69   19.02   19.22   18.86   18.33   18.15   18.36   18.11
  875.00   17.04   16.85   16.66   16.45   16.23   16.03   15.86   15.75   15.81   15.83   16.58   17.55   18.38   19.13   19.87   20.48   21.10   21.50   21.76   21.30   20.53   20.34   20.44   20.26
  900.00   19.23   19.10   18.94   18.75   18.55   18.28   17.96   17.67   17.36   18.07   18.97   19.94   20.79   21.54   22.26   22.88   23.48   23.85   24.15   23.73   22.68   22.10   22.42   22.36
  925.00   20.76   20.30   19.70   19.14   18.62   18.02   17.50   17.44   18.98   20.71   21.65   22.72   23.62   24.39   25.11   25.64   26.18   26.47   26.64   25.95   24.49   23.23   22.88   22.39
  950.00   22.60   22.31   21.89   21.39   20.88   20.37   19.87   19.51   20.34   22.07   23.04   24.06   24.92   25.65   26.36   26.90   27.47   27.80   27.99   27.46   26.20   24.96   24.68   24.27
  975.00   24.07   23.77   23.34   22.83   22.31   21.78   21.27   20.97   21.83   23.56   24.52   25.56   26.43   27.18   27.89   28.45   28.99   29.30   29.51   29.00   27.73   26.46   26.16   25.73
 1000.00   25.47   25.16   24.74   24.23   23.72   23.19   22.70   22.40   23.25   24.99   25.96   27.00   27.88   28.63   29.35   29.90   30.43   30.74   30.95   30.43   29.16   27.89   27.60   27.18
