#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -8.76  -10.07  -10.76  -11.84  -14.16  -15.59  -13.90  -11.34  -10.73  -11.39  -11.04   -9.88   -9.65   -8.21   -6.74   -6.11   -7.11   -8.39   -7.90   -7.62   -7.15   -6.61   -7.27   -7.46
    2.00   -5.07   -6.84   -8.20   -8.26   -8.97  -10.03  -11.25  -12.59  -12.16  -10.21   -9.21   -9.18  -10.47  -11.45  -10.95   -7.21   -2.77   -2.18   -3.48   -5.36   -7.14   -7.57   -6.83   -6.52
    3.00  -11.90  -11.39  -11.68  -12.90  -15.12  -16.77  -17.32  -17.73  -18.48  -18.00  -16.30  -14.80  -13.36  -13.75  -14.44  -15.21  -14.61  -13.30  -12.87  -12.68  -13.27  -13.69  -13.75  -14.25
   10.00  -39.12  -38.75  -39.45  -40.01  -40.20  -40.06  -39.43  -39.27  -39.55  -40.40  -41.23  -40.98  -39.87  -37.66  -36.61  -37.09  -37.99  -38.33  -37.34  -36.35  -36.13  -36.72  -37.52  -38.09
   20.00  -50.94  -51.28  -51.74  -51.98  -52.05  -52.29  -52.14  -51.38  -51.05  -51.02  -50.58  -49.86  -50.47  -51.12  -51.43  -51.66  -51.43  -50.71  -50.24  -49.44  -48.70  -48.33  -48.61  -50.13
   30.00  -55.47  -55.48  -55.42  -55.44  -55.38  -55.34  -55.97  -56.92  -56.96  -56.65  -56.26  -55.42  -54.11  -53.83  -53.85  -54.64  -54.47  -54.26  -54.14  -54.76  -55.65  -56.23  -56.19  -55.77
   50.00  -56.75  -56.79  -56.87  -57.00  -57.44  -57.81  -57.77  -57.80  -58.11  -58.08  -57.74  -57.25  -57.16  -57.24  -56.79  -56.45  -56.65  -56.54  -56.51  -56.50  -56.63  -56.81  -57.13  -57.04
   70.00  -57.11  -57.34  -57.36  -57.29  -57.55  -58.17  -58.45  -57.83  -57.49  -57.77  -57.74  -57.34  -57.09  -57.06  -57.55  -56.88  -56.94  -57.21  -57.52  -57.68  -57.85  -57.99  -57.80  -58.18
  100.00  -58.27  -58.36  -58.54  -58.54  -58.19  -57.67  -57.65  -57.91  -57.61  -57.17  -56.96  -56.83  -57.02  -56.89  -57.20  -57.56  -57.59  -57.64  -57.46  -57.41  -57.53  -57.55  -57.17  -57.38
  125.00  -58.98  -59.38  -59.81  -60.31  -60.87  -60.70  -59.71  -59.27  -59.86  -60.57  -60.82  -60.61  -61.00  -61.46  -61.34  -61.31  -60.71  -60.91  -61.17  -61.24  -61.34  -61.49  -61.54  -61.93
  150.00  -64.40  -65.00  -65.42  -65.52  -65.90  -66.89  -67.71  -67.31  -65.93  -65.11  -64.71  -64.53  -64.30  -64.07  -63.59  -64.09  -64.34  -64.07  -64.04  -64.04  -64.08  -64.16  -63.37  -63.82
