#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -18.68  -19.87  -18.90  -19.64  -19.53  -20.29  -19.39  -16.75  -15.12  -15.13  -14.56  -15.85  -16.14  -16.07  -16.97  -15.80  -16.36  -16.56  -14.76  -13.76  -12.02  -12.31  -12.93  -16.86
    2.00  -20.81  -22.92  -26.36  -26.26  -26.43  -25.96  -26.96  -26.82  -25.74  -25.92  -25.66  -24.10  -25.10  -25.36  -25.00  -25.91  -27.14  -29.34  -30.05  -31.50  -32.55  -30.07  -27.39  -27.77
    3.00  -28.08  -28.46  -29.43  -31.19  -32.55  -33.28  -33.80  -35.02  -34.61  -34.91  -36.42  -35.90  -34.40  -33.77  -33.32  -32.27  -32.59  -33.49  -34.68  -34.35  -35.43  -36.61  -36.82  -35.46
   10.00  -55.98  -56.39  -56.61  -56.61  -56.83  -56.78  -57.40  -58.82  -58.38  -57.11  -56.66  -55.74  -55.30  -55.43  -55.90  -55.97  -56.15  -55.82  -54.90  -54.53  -53.72  -52.76  -52.78  -53.70
   20.00  -59.57  -60.06  -60.58  -61.22  -61.30  -60.58  -60.89  -61.45  -61.34  -60.94  -60.81  -61.40  -61.36  -60.47  -59.57  -59.47  -59.60  -59.58  -59.68  -59.67  -59.29  -58.84  -59.07  -59.39
   30.00  -60.70  -60.69  -60.77  -60.89  -61.42  -61.74  -61.07  -60.10  -60.14  -60.80  -60.11  -60.67  -61.14  -61.76  -62.29  -62.38  -62.26  -62.35  -61.90  -61.44  -61.84  -61.58  -61.49  -61.36
   50.00  -62.55  -62.33  -62.53  -62.55  -62.18  -62.11  -62.13  -61.91  -61.67  -61.77  -62.60  -62.33  -62.09  -62.18  -62.37  -62.19  -61.64  -61.80  -62.03  -61.45  -60.83  -61.17  -60.95  -61.05
   70.00  -63.18  -63.35  -63.25  -63.16  -62.95  -63.03  -63.62  -63.98  -63.85  -63.73  -63.27  -62.84  -62.55  -62.72  -63.26  -63.87  -64.36  -64.69  -65.04  -65.13  -64.66  -64.32  -64.23  -63.91
  100.00  -63.59  -63.56  -64.00  -64.65  -64.94  -64.91  -65.01  -65.27  -65.33  -65.22  -65.47  -65.67  -65.58  -65.32  -65.28  -65.17  -65.07  -64.85  -64.59  -64.54  -64.47  -64.55  -64.96  -64.82
  125.00  -60.97  -60.49  -60.44  -60.84  -61.27  -61.25  -61.27  -61.68  -62.13  -62.33  -61.96  -62.05  -62.06  -61.84  -61.61  -61.54  -61.70  -61.87  -62.00  -62.19  -62.10  -61.82  -61.62  -61.86
  150.00  -59.99  -60.23  -60.47  -60.79  -61.16  -61.00  -60.60  -60.50  -60.49  -60.44  -60.07  -60.01  -59.97  -59.80  -59.47  -59.22  -59.41  -59.59  -59.59  -59.71  -59.77  -59.44  -58.72  -58.50
  175.00  -63.35  -62.96  -62.71  -62.69  -63.02  -63.27  -63.26  -63.17  -62.84  -62.20  -61.53  -60.99  -60.84  -60.62  -60.30  -60.00  -60.06  -60.11  -60.13  -60.38  -60.63  -60.31  -59.39  -59.32
  200.00  -64.08  -63.82  -63.49  -63.31  -63.43  -63.73  -63.84  -63.78  -63.75  -63.61  -63.66  -63.43  -63.53  -63.62  -63.62  -63.55  -63.63  -63.55  -63.35  -63.35  -63.62  -63.82  -63.67  -63.24
  225.00  -61.61  -61.62  -61.56  -61.34  -61.17  -61.31  -61.47  -61.45  -61.47  -61.58  -61.57  -61.46  -61.39  -61.24  -61.00  -60.78  -60.75  -60.69  -60.56  -60.49  -60.59  -60.93  -61.00  -61.06
  250.00  -57.36  -57.50  -57.64  -57.70  -57.65  -57.62  -57.61  -57.51  -57.41  -57.42  -57.77  -57.80  -57.82  -57.85  -57.81  -57.70  -57.66  -57.59  -57.42  -57.22  -57.10  -57.23  -57.26  -57.34
  300.00  -47.90  -47.98  -48.06  -48.09  -48.03  -47.99  -47.97  -47.94  -47.92  -47.97  -48.39  -48.39  -48.35  -48.35  -48.37  -48.33  -48.27  -48.23  -48.14  -48.03  -47.94  -48.01  -48.71  -48.85
  350.00  -39.19  -39.39  -39.55  -39.63  -39.61  -39.58  -39.57  -39.55  -39.51  -39.49  -39.29  -39.29  -39.26  -39.27  -39.33  -39.34  -39.28  -39.25  -39.29  -39.28  -39.23  -39.36  -39.83  -39.89
  400.00  -31.38  -31.65  -31.89  -32.02  -31.97  -31.85  -31.78  -31.69  -31.57  -31.48  -31.34  -31.31  -31.25  -31.28  -31.40  -31.52  -31.59  -31.68  -31.78  -31.81  -31.75  -31.71  -31.80  -31.78
  450.00  -24.33  -24.48  -24.65  -24.78  -24.85  -24.86  -24.84  -24.78  -24.69  -24.61  -24.61  -24.55  -24.45  -24.38  -24.37  -24.39  -24.42  -24.48  -24.53  -24.53  -24.53  -24.54  -24.57  -24.59
  500.00  -18.18  -18.17  -18.20  -18.19  -18.12  -18.08  -18.07  -18.07  -18.06  -18.04  -18.06  -18.03  -17.98  -17.91  -17.83  -17.74  -17.69  -17.69  -17.70  -17.72  -17.79  -17.93  -18.01  -18.10
