#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -16.18  -17.73  -18.37  -19.21  -19.09  -18.90  -17.67  -16.25  -16.93  -17.85  -17.65  -16.54  -17.16  -18.56  -18.14  -16.12  -13.66  -12.84  -13.50  -14.13  -15.17  -15.94  -16.13  -16.46
    2.00  -10.68  -10.06   -8.92   -8.41  -10.24  -12.78  -15.09  -15.81  -14.91  -14.54  -13.83  -12.21  -10.01  -10.00  -11.67  -13.49  -15.23  -14.82  -13.28  -12.13  -11.52  -11.53  -11.20  -10.45
    3.00  -10.66  -10.53  -11.00  -10.32   -8.91   -8.72   -9.43  -11.76  -12.35  -12.13  -12.77  -12.10  -10.22   -8.32   -7.90   -9.01  -11.63  -13.46  -13.58  -13.63  -12.83  -12.26  -12.38  -13.61
   10.00  -41.92  -42.19  -43.93  -45.81  -44.80  -44.41  -44.83  -45.86  -46.09  -45.28  -44.41  -43.24  -42.84  -43.78  -44.72  -45.41  -45.39  -45.78  -46.70  -47.20  -47.04  -46.14  -45.53  -45.84
   20.00  -57.75  -57.89  -58.41  -58.32  -58.49  -58.10  -57.92  -58.46  -59.02  -58.73  -58.16  -57.97  -58.32  -58.85  -58.78  -59.02  -60.18  -61.06  -61.07  -60.40  -59.17  -57.81  -57.21  -56.79
   30.00  -61.18  -61.58  -62.11  -62.51  -63.00  -63.71  -63.94  -63.61  -63.08  -62.94  -63.18  -63.19  -62.55  -62.34  -62.55  -62.51  -62.31  -62.18  -62.08  -62.15  -62.49  -62.34  -62.47  -62.45
   50.00  -63.36  -63.49  -63.73  -64.14  -63.74  -63.47  -63.41  -63.66  -63.98  -64.01  -63.74  -63.70  -63.71  -63.59  -63.78  -63.61  -63.34  -63.19  -63.07  -63.05  -63.23  -63.54  -63.69  -63.76
   70.00  -63.65  -63.79  -63.64  -64.16  -64.42  -64.27  -63.92  -63.59  -63.60  -63.81  -63.16  -63.24  -63.45  -63.17  -63.58  -63.77  -63.83  -63.92  -64.09  -64.24  -64.33  -64.49  -63.58  -63.69
  100.00  -61.10  -62.38  -63.16  -63.00  -63.00  -62.63  -62.28  -62.16  -61.82  -61.81  -62.30  -62.85  -63.55  -64.16  -64.46  -64.13  -63.19  -62.34  -61.69  -61.15  -60.89  -60.95  -61.23  -61.17
  125.00  -60.53  -60.24  -59.80  -60.39  -60.54  -60.09  -59.46  -59.27  -58.75  -58.33  -58.35  -58.16  -58.49  -58.55  -58.43  -58.39  -58.43  -58.39  -58.36  -58.28  -58.12  -58.08  -58.03  -58.21
  150.00  -60.15  -60.05  -61.93  -60.94  -59.54  -59.40  -59.87  -60.06  -60.16  -59.98  -59.38  -59.31  -59.35  -59.02  -58.10  -57.75  -57.44  -56.87  -56.86  -56.98  -57.22  -57.45  -57.45  -58.16
  175.00  -66.93  -66.34  -65.12  -64.46  -63.29  -62.62  -62.10  -61.73  -61.38  -60.55  -60.15  -60.03  -59.26  -59.15  -59.24  -58.86  -58.65  -58.74  -58.88  -58.97  -58.69  -58.39  -58.11  -58.23
  200.00  -65.30  -65.10  -64.81  -64.88  -65.06  -64.84  -64.83  -64.19  -63.60  -63.18  -63.39  -62.97  -62.20  -61.51  -60.79  -60.82  -61.49  -61.78  -61.52  -61.53  -61.51  -61.35  -60.86  -60.55
  225.00  -60.76  -61.06  -60.66  -60.62  -61.23  -61.55  -61.67  -61.70  -61.58  -61.38  -61.21  -61.12  -60.98  -61.19  -61.34  -61.16  -61.21  -61.43  -61.57  -61.70  -61.80  -62.02  -62.16  -61.51
  250.00  -56.13  -56.29  -56.22  -56.14  -56.29  -56.12  -56.11  -56.42  -56.66  -56.69  -56.15  -56.20  -56.30  -56.27  -56.27  -56.49  -56.66  -56.62  -56.82  -57.09  -57.31  -57.47  -57.94  -58.13
  300.00  -46.10  -45.98  -46.06  -46.01  -45.91  -45.79  -45.75  -45.94  -45.72  -46.18  -45.91  -46.09  -46.26  -46.29  -46.93  -47.22  -47.13  -47.16  -47.39  -47.56  -47.54  -47.59  -48.01  -48.11
  350.00  -37.17  -37.03  -36.72  -36.62  -36.95  -37.41  -37.27  -37.23  -37.51  -37.46  -37.58  -37.81  -37.99  -38.39  -39.06  -39.21  -39.20  -39.23  -39.04  -38.75  -38.80  -38.80  -39.07  -38.99
  400.00  -30.56  -30.75  -30.33  -30.66  -31.00  -30.86  -30.72  -30.53  -30.60  -30.84  -30.94  -31.25  -31.74  -31.77  -31.89  -31.99  -32.07  -32.05  -31.84  -31.63  -31.47  -31.29  -30.78  -30.70
  450.00  -24.47  -24.68  -24.72  -24.87  -25.07  -25.16  -25.28  -25.19  -25.14  -25.27  -25.32  -24.99  -25.15  -25.36  -25.20  -25.16  -25.19  -25.21  -25.12  -25.02  -24.97  -24.81  -24.47  -24.68
  500.00  -18.83  -18.92  -18.90  -19.32  -19.59  -19.71  -19.98  -20.20  -20.08  -19.81  -19.94  -19.78  -19.38  -19.29  -19.01  -18.89  -19.08  -19.15  -19.07  -19.06  -19.00  -19.00  -19.61  -19.66
  550.00  -13.04  -13.32  -13.48  -13.77  -14.01  -14.28  -14.68  -14.87  -14.95  -15.01  -14.96  -14.88  -14.74  -14.66  -14.42  -14.21  -14.14  -14.13  -14.23  -14.27  -14.16  -14.16  -14.97  -14.90
  600.00   -8.34   -8.54   -9.07   -9.71   -9.68   -9.92  -10.16  -10.32  -10.40  -10.50  -10.50  -10.46  -10.30  -10.23  -10.21  -10.21  -10.06   -9.96  -10.07  -10.17  -10.28  -10.43  -10.66  -10.36
  650.00   -6.49   -6.13   -6.03   -6.30   -6.19   -6.39   -6.56   -6.69   -6.75   -6.80   -6.34   -6.45   -6.48   -6.38   -6.18   -6.18   -6.03   -5.94   -6.13   -6.40   -6.72   -6.94   -6.40   -6.24
  700.00   -3.53   -3.37   -3.36   -3.28   -2.99   -3.02   -3.06   -3.28   -3.41   -3.52   -2.99   -3.23   -3.05   -2.98   -2.92   -2.90   -2.74   -2.71   -3.03   -3.15   -3.19   -3.44   -2.60   -2.52
  750.00   -0.33   -0.26   -0.38   -0.29   -0.00    0.06    0.32    0.04   -0.26   -0.40   -0.17   -0.01   -0.01    0.29    0.45    0.32    0.19   -0.03   -0.15   -0.30   -0.34   -0.53    0.17    0.23
  775.00    0.67    0.81    0.85    1.01    1.31    1.37    1.77    1.57    1.23    1.16    1.31    1.67    1.66    1.90    1.99    1.72    1.45    1.25    1.17    0.97    0.86    0.80    1.30    1.22
  800.00    2.22    2.30    2.33    2.43    2.72    2.76    3.11    3.05    2.72    2.77    2.86    3.25    3.26    3.40    3.37    2.95    2.59    2.46    2.35    2.10    2.10    2.16    2.55    2.37
  825.00    3.95    4.04    4.05    4.09    4.23    4.19    4.35    4.38    4.18    4.25    4.54    4.78    4.67    4.70    4.66    4.31    4.08    4.06    3.88    3.66    3.75    3.84    4.20    3.96
  850.00    5.29    5.37    5.44    5.69    5.93    5.86    5.80    5.82    5.72    5.69    6.08    6.16    6.01    6.18    6.20    6.05    5.92    5.95    5.92    5.70    5.66    5.65    5.82    5.31
  875.00    6.05    6.15    6.30    6.72    7.34    7.53    7.50    7.43    7.39    7.34    7.48    7.59    7.58    7.83    8.10    8.06    7.85    7.82    7.85    7.59    7.34    7.12    6.95    6.35
  900.00    6.75    6.94    7.13    7.39    8.03    8.62    9.09    9.19    9.17    9.24    9.07    9.24    9.20    9.60    9.99    9.73    9.50    9.53    9.62    9.23    8.85    8.39    8.14    7.58
  925.00    7.86    7.95    8.00    8.16    8.60    9.18   10.04   10.68   10.99   11.16   10.83   10.90   10.63   10.62   11.07   11.39   11.32   11.22   11.16   10.74   10.28    9.76    9.56    9.12
  950.00    9.14    9.17    9.14    9.13    9.31    9.74   10.43   11.12   11.65   11.99   11.67   11.66   11.69   12.39   13.01   13.28   13.28   13.16   12.98   12.51   11.90   11.15   11.14   10.82
  975.00    9.44    9.05    8.57    7.85    7.00    6.60    6.67    6.86    7.90    9.49   10.97   12.88   13.91   14.54   15.11   15.42   15.19   14.84   14.11   12.98   11.99   11.42   11.49   10.96
 1000.00   11.12   11.12   11.01   10.91   10.82   10.67   10.70   10.93   11.32   11.81   11.99   12.80   14.23   15.39   16.28   16.78   16.76   16.53   16.20   15.45   14.46   13.51   13.48   13.34
