#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -11.60  -13.25  -13.63  -12.07  -12.26  -10.80  -12.27  -14.05  -14.63  -14.33  -13.25  -12.34  -12.11  -11.00   -9.34   -8.74   -8.61   -9.84  -10.64   -9.27   -8.48   -7.13   -8.43  -10.73
    2.00  -20.19  -19.16  -21.40  -23.27  -25.13  -25.63  -24.30  -24.68  -24.33  -22.37  -23.86  -23.39  -22.49  -22.35  -20.97  -19.00  -17.81  -18.01  -20.02  -21.92  -22.71  -21.52  -19.54  -19.73
    3.00  -31.92  -31.78  -32.01  -32.68  -34.01  -34.78  -34.78  -32.93  -33.68  -33.69  -32.58  -31.26  -31.08  -32.22  -33.05  -32.70  -31.76  -30.72  -30.05  -29.49  -29.31  -30.39  -31.29  -32.20
   10.00  -47.05  -47.37  -47.04  -46.99  -46.90  -46.81  -47.39  -47.54  -47.11  -47.48  -48.01  -48.24  -48.07  -47.68  -48.07  -48.48  -47.99  -46.91  -45.79  -46.23  -46.51  -47.18  -48.21  -47.84
   20.00  -51.57  -52.26  -53.04  -53.35  -53.40  -53.14  -53.32  -53.88  -54.23  -54.27  -54.24  -52.43  -50.88  -50.50  -50.81  -51.55  -51.99  -52.77  -53.43  -53.50  -53.72  -53.48  -52.76  -52.98
   30.00  -55.85  -56.01  -56.17  -56.09  -56.19  -56.35  -56.38  -56.12  -55.85  -55.86  -56.02  -56.13  -56.08  -55.43  -54.67  -54.26  -53.76  -53.36  -53.56  -53.56  -53.57  -53.50  -54.02  -54.77
   50.00  -60.01  -59.96  -60.03  -60.32  -60.45  -60.40  -60.48  -60.50  -60.42  -59.83  -59.04  -58.68  -58.72  -58.82  -58.91  -58.94  -59.06  -59.18  -59.06  -59.09  -58.96  -58.66  -58.27  -58.25
   70.00  -61.85  -62.04  -62.05  -61.89  -61.81  -61.77  -61.89  -61.95  -62.13  -62.19  -62.73  -62.40  -62.02  -61.70  -61.49  -61.37  -61.45  -61.70  -61.99  -62.56  -62.71  -62.65  -62.39  -62.26
  100.00  -62.11  -62.29  -62.31  -62.09  -61.92  -62.07  -62.27  -62.27  -62.10  -61.98  -61.71  -61.82  -62.00  -62.45  -62.83  -62.77  -62.44  -62.27  -61.87  -61.72  -62.01  -62.35  -62.44  -62.61
  125.00  -62.31  -62.57  -62.57  -62.43  -62.23  -62.33  -62.52  -62.59  -62.60  -62.53  -62.18  -62.26  -62.44  -62.80  -63.22  -63.53  -63.62  -63.88  -64.02  -64.03  -64.02  -63.98  -63.84  -63.96
  150.00  -61.76  -61.95  -62.23  -62.79  -63.11  -63.30  -63.35  -63.43  -63.77  -63.90  -64.03  -63.83  -63.78  -63.99  -64.39  -64.84  -65.14  -65.46  -65.76  -65.91  -65.86  -65.74  -65.85  -66.26
  175.00  -67.09  -67.10  -66.86  -66.63  -66.43  -66.30  -66.23  -66.05  -66.00  -66.03  -66.93  -66.95  -66.62  -66.36  -66.35  -66.35  -66.18  -66.10  -66.25  -66.36  -66.18  -65.98  -65.80  -65.36
  200.00  -65.12  -64.95  -64.81  -64.78  -65.00  -65.23  -65.13  -64.58  -64.11  -63.94  -64.75  -64.87  -64.94  -64.85  -64.77  -64.63  -64.33  -63.95  -63.48  -63.03  -62.85  -62.80  -62.76  -62.44
  225.00  -60.00  -59.88  -59.80  -59.80  -59.84  -59.87  -59.99  -60.09  -59.89  -59.66  -59.84  -59.74  -59.44  -59.08  -58.83  -58.75  -58.74  -58.69  -58.59  -58.37  -58.05  -57.85  -57.90  -57.89
  250.00  -54.30  -54.27  -54.32  -54.45  -54.63  -54.69  -54.66  -54.60  -54.50  -54.22  -54.04  -53.95  -53.81  -53.63  -53.50  -53.44  -53.38  -53.24  -53.11  -53.05  -53.10  -53.20  -53.19  -53.23
  300.00  -44.27  -44.10  -44.02  -44.08  -44.17  -44.25  -44.32  -44.28  -44.21  -44.15  -43.96  -43.64  -43.34  -43.12  -43.02  -42.99  -43.06  -43.15  -43.20  -43.25  -43.36  -43.55  -43.88  -44.08
  350.00  -35.73  -35.59  -35.57  -35.53  -35.44  -35.27  -35.15  -35.22  -35.33  -35.29  -34.83  -34.73  -34.58  -34.27  -33.98  -33.81  -33.75  -33.81  -33.95  -34.06  -34.15  -34.28  -34.50  -34.70
  400.00  -28.27  -28.09  -27.93  -27.84  -27.77  -27.74  -27.72  -27.71  -27.83  -27.93  -27.52  -27.54  -27.63  -27.59  -27.42  -27.26  -27.17  -27.02  -26.91  -26.89  -26.76  -26.64  -26.62  -26.73
  450.00  -21.05  -21.07  -21.07  -21.09  -21.16  -21.20  -21.23  -21.21  -21.21  -21.24  -21.23  -21.25  -21.37  -21.44  -21.42  -21.38  -21.34  -21.24  -21.05  -20.91  -20.83  -20.75  -20.40  -20.25
  500.00  -14.24  -14.43  -14.59  -14.76  -14.98  -15.23  -15.45  -15.55  -15.47  -15.24  -15.09  -14.94  -14.99  -15.11  -15.21  -15.23  -15.21  -15.16  -15.16  -15.22  -15.21  -15.09  -14.81  -14.67
  550.00   -8.24   -8.36   -8.51   -8.71   -8.97   -9.26   -9.55   -9.76   -9.85   -9.86   -9.87   -9.79   -9.78   -9.84   -9.88   -9.84   -9.73   -9.73   -9.86  -10.03  -10.12  -10.17  -10.12  -10.04
  600.00   -3.56   -3.69   -3.83   -3.93   -4.06   -4.19   -4.33   -4.44   -4.52   -4.60   -4.63   -4.80   -4.96   -5.09   -5.15   -5.14   -5.01   -4.84   -4.76   -4.76   -4.73   -4.75   -4.90   -5.06
  650.00    0.05   -0.05   -0.09   -0.00    0.10    0.16    0.15    0.12    0.11    0.10    0.18    0.09   -0.03   -0.17   -0.30   -0.39   -0.42   -0.45   -0.51   -0.56   -0.46   -0.35   -0.63   -0.71
  700.00    3.78    3.64    3.54    3.59    3.71    3.83    3.91    3.94    3.94    3.97    4.15    4.15    4.14    4.12    4.07    4.01    3.94    3.82    3.65    3.47    3.34    3.19    2.67    2.49
  750.00    7.04    7.09    7.12    7.18    7.21    7.20    7.21    7.23    7.21    7.23    7.43    7.46    7.45    7.38    7.32    7.31    7.29    7.19    7.09    7.00    6.94    6.78    6.28    5.94
  775.00    8.20    8.33    8.43    8.61    8.71    8.71    8.71    8.75    8.71    8.70    8.88    8.87    8.85    8.78    8.73    8.70    8.62    8.48    8.36    8.28    8.26    8.18    7.80    7.57
  800.00    8.80    9.08    9.21    9.46    9.69    9.81    9.92   10.07   10.04   10.01   10.18   10.10   10.12   10.17   10.12   10.03    9.90    9.68    9.50    9.38    9.34    9.30    9.04    8.95
