#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -18.91  -19.29  -19.85  -20.99  -22.68  -22.68  -21.24  -19.63  -19.14  -18.79  -19.20  -19.57  -19.73  -20.13  -19.67  -18.51  -18.39  -19.19  -20.91  -22.01  -21.76  -22.27  -21.95  -22.26
    2.00   -9.05   -9.30   -9.97  -10.49  -11.49  -13.00  -14.77  -15.19  -14.87  -13.85  -12.04  -11.41  -11.05  -11.26  -10.77   -9.64   -9.32   -8.67   -8.26   -9.22  -10.81  -11.26  -11.03  -12.23
    3.00   -5.99   -6.28   -5.97   -5.98   -6.29   -7.15   -8.72  -10.75  -11.27  -11.11  -10.15   -9.25   -9.09  -10.08  -10.81  -10.75  -11.27  -11.54  -11.05   -9.95   -9.40   -8.69   -8.83   -9.32
   10.00  -52.03  -51.15  -50.30  -50.76  -51.15  -50.60  -49.45  -48.96  -48.91  -48.99  -49.26  -49.25  -48.67  -47.99  -48.19  -47.90  -47.95  -48.28  -48.16  -46.87  -45.50  -45.16  -46.10  -45.96
   20.00  -57.39  -58.42  -58.75  -58.63  -59.14  -59.80  -59.89  -59.54  -58.78  -58.08  -57.68  -56.98  -56.99  -57.57  -57.99  -58.02  -57.76  -57.47  -57.48  -57.97  -58.32  -58.03  -57.95  -57.84
   30.00  -59.24  -59.54  -59.78  -59.91  -60.18  -60.07  -59.62  -59.33  -59.39  -58.74  -58.50  -58.68  -59.00  -59.12  -59.13  -59.58  -60.38  -60.81  -60.55  -59.49  -58.99  -58.67  -59.05  -58.98
   50.00  -57.04  -56.93  -57.39  -57.69  -57.90  -58.12  -58.40  -58.56  -58.64  -58.76  -58.92  -58.65  -58.10  -57.92  -57.99  -57.84  -57.76  -57.87  -58.19  -58.36  -58.35  -58.48  -59.15  -59.33
   70.00  -58.21  -58.05  -57.79  -57.72  -57.76  -57.96  -58.20  -58.12  -57.97  -57.90  -57.52  -57.60  -57.62  -57.43  -57.35  -57.33  -57.43  -57.60  -57.69  -58.06  -58.42  -58.21  -57.43  -57.25
  100.00  -56.73  -56.98  -57.13  -57.23  -57.22  -57.18  -57.37  -57.32  -56.89  -56.57  -56.16  -56.33  -56.73  -57.15  -57.52  -57.71  -57.94  -57.99  -57.62  -57.11  -56.80  -56.87  -57.70  -57.64
  125.00  -57.27  -57.62  -57.80  -57.60  -57.38  -56.86  -56.69  -56.97  -57.20  -57.24  -56.27  -56.12  -56.06  -56.06  -56.05  -55.65  -55.53  -55.80  -56.00  -55.94  -55.58  -55.23  -55.02  -55.39
