#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -10.35   -9.66   -8.57   -6.73   -5.28   -4.71   -5.28   -6.10   -5.56   -6.06   -7.95   -8.61   -8.06   -6.43   -2.52   -1.34   -2.79   -4.01   -4.54   -4.87   -4.67   -5.47   -6.64   -6.62
    2.00   -0.49   -2.10   -4.23   -5.99   -7.94   -8.62   -7.75   -6.52   -6.61   -5.96   -5.14   -4.66   -3.62   -3.81   -4.04   -2.81   -0.90   -1.12   -1.33   -1.72   -3.45   -4.59   -4.47   -4.41
    3.00  -10.55   -9.96  -10.50  -10.19  -10.84  -13.29  -14.96  -14.40  -14.35  -13.49  -12.54  -12.32  -12.12  -11.90  -12.09  -11.49  -10.10   -8.90   -8.97   -9.44  -10.57  -11.12  -10.54  -12.13
   10.00  -38.74  -38.95  -39.01  -38.17  -37.49  -38.45  -39.72  -40.16  -40.22  -40.97  -41.68  -40.35  -38.57  -38.54  -38.22  -38.11  -38.64  -38.66  -38.85  -38.61  -38.09  -38.39  -39.81  -40.50
   20.00  -50.07  -50.62  -50.73  -50.09  -49.68  -49.44  -49.31  -49.48  -50.31  -50.53  -50.31  -49.80  -49.60  -49.82  -49.75  -49.59  -49.39  -49.46  -49.23  -49.58  -50.55  -50.79  -50.57  -50.09
   30.00  -54.93  -54.59  -54.11  -53.80  -54.22  -54.76  -54.67  -54.23  -54.46  -55.10  -54.89  -54.55  -54.03  -53.78  -54.14  -54.88  -55.42  -54.86  -54.27  -53.58  -53.48  -53.62  -53.61  -53.80
   50.00  -57.63  -57.92  -58.32  -58.41  -57.91  -57.25  -57.27  -57.89  -58.42  -58.65  -58.56  -58.59  -58.28  -58.19  -57.70  -57.00  -56.27  -56.70  -57.40  -57.86  -58.04  -57.98  -58.20  -58.02
   70.00  -57.40  -57.31  -57.35  -57.54  -57.95  -58.23  -57.93  -57.44  -57.39  -57.61  -57.98  -58.37  -58.60  -58.77  -58.74  -58.69  -58.16  -57.08  -56.96  -57.14  -57.26  -57.13  -57.52  -58.08
  100.00  -58.51  -58.79  -58.88  -59.00  -59.11  -59.14  -59.17  -59.31  -59.48  -59.21  -58.53  -58.20  -58.23  -58.57  -58.91  -59.16  -59.75  -60.01  -59.28  -58.99  -59.08  -59.44  -59.06  -59.04
  125.00  -60.70  -60.80  -60.52  -60.01  -59.79  -59.95  -60.42  -60.73  -60.69  -60.75  -60.88  -60.88  -60.38  -59.81  -59.43  -59.52  -59.47  -60.10  -60.68  -60.48  -60.18  -60.10  -59.92  -60.01
  150.00  -64.99  -64.84  -65.09  -65.10  -64.62  -64.00  -63.63  -63.46  -63.52  -63.55  -63.29  -63.49  -63.61  -63.93  -63.83  -62.98  -62.50  -62.18  -62.23  -62.65  -62.76  -62.51  -62.57  -62.87
  175.00  -65.55  -65.54  -65.53  -65.57  -65.54  -65.24  -64.84  -64.53  -64.30  -63.97  -63.62  -63.33  -63.07  -62.77  -63.02  -63.25  -62.73  -62.44  -62.05  -61.83  -62.40  -62.69  -62.62  -63.28
