#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -9.88  -11.79  -11.89  -12.55  -12.67  -13.03  -13.32  -14.72  -13.76  -12.34  -10.30   -8.42   -8.47   -9.15   -7.84   -6.67   -6.19   -5.96   -6.60   -7.41   -7.60   -7.12   -7.00   -7.80
    2.00   -4.28   -5.87   -6.78   -7.29   -8.74   -9.33   -8.63   -9.61  -12.00  -13.50  -13.97  -12.43   -9.84   -9.01   -7.71   -6.26   -5.43   -3.52   -1.46   -1.88   -4.12   -5.14   -5.77   -5.53
    3.00  -11.87  -11.17  -10.60  -10.71  -12.18  -14.14  -13.79  -13.08  -12.83  -14.04  -15.56  -16.19  -15.73  -15.82  -15.13  -13.42  -13.02  -12.59  -11.50   -9.52   -9.68  -10.44  -11.19  -11.84
   10.00  -37.92  -38.48  -38.60  -38.73  -38.54  -38.24  -37.81  -37.80  -37.99  -38.18  -38.35  -38.67  -39.11  -39.26  -38.55  -37.45  -37.21  -37.40  -37.34  -36.95  -37.26  -37.88  -38.56  -38.91
   20.00  -47.22  -47.38  -46.85  -46.28  -45.59  -45.25  -45.13  -45.69  -46.35  -46.44  -46.58  -46.43  -45.52  -45.42  -45.62  -45.04  -44.79  -45.00  -45.23  -45.60  -45.85  -46.04  -47.02  -47.24
   30.00  -50.65  -51.22  -51.77  -51.96  -51.88  -51.94  -51.71  -50.98  -50.47  -50.65  -50.40  -50.37  -50.37  -50.88  -51.40  -51.65  -51.67  -51.63  -51.30  -50.70  -50.37  -50.13  -50.35  -50.68
   50.00  -55.97  -55.82  -55.83  -56.24  -56.64  -56.31  -55.29  -55.08  -55.24  -55.31  -55.13  -55.93  -56.37  -56.53  -56.22  -55.79  -55.87  -56.06  -56.29  -56.22  -56.27  -56.74  -56.54  -56.69
   70.00  -60.53  -60.74  -60.49  -60.08  -59.93  -60.27  -60.55  -60.53  -60.38  -60.40  -59.68  -59.67  -59.51  -59.60  -60.01  -60.50  -60.81  -60.59  -60.26  -60.06  -59.89  -59.81  -59.88  -60.10
  100.00  -63.49  -63.40  -63.58  -63.65  -63.94  -64.50  -64.96  -65.35  -65.66  -65.73  -65.72  -65.38  -64.86  -64.70  -64.79  -64.81  -65.08  -65.40  -65.48  -65.48  -65.46  -65.38  -65.42  -65.52
  125.00  -64.03  -64.22  -64.88  -65.45  -65.41  -65.10  -64.72  -64.45  -64.59  -65.03  -65.75  -66.03  -66.04  -65.93  -65.85  -65.66  -65.27  -64.82  -64.47  -64.22  -64.10  -64.01  -64.09  -64.13
  150.00  -64.20  -63.75  -63.31  -63.08  -62.93  -62.92  -63.03  -62.97  -62.51  -61.87  -61.35  -61.42  -61.69  -61.95  -62.12  -62.18  -62.05  -61.69  -61.29  -60.92  -60.64  -60.42  -60.04  -60.05
  175.00  -61.00  -61.00  -60.98  -60.93  -60.68  -60.36  -60.25  -60.39  -60.53  -60.60  -60.56  -60.22  -59.75  -59.41  -59.25  -59.25  -59.20  -58.90  -58.54  -58.23  -57.97  -57.74  -57.87  -57.81
  200.00  -56.69  -56.60  -56.49  -56.45  -56.41  -56.37  -56.36  -56.42  -56.48  -56.52  -56.79  -56.79  -56.68  -56.45  -55.99  -55.62  -55.57  -55.52  -55.28  -54.93  -54.60  -54.35  -54.48  -54.37
  225.00  -51.82  -51.68  -51.47  -51.34  -51.30  -51.27  -51.23  -51.22  -51.26  -51.31  -51.49  -51.53  -51.47  -51.43  -51.36  -51.20  -50.98  -50.87  -50.89  -50.89  -50.77  -50.54  -50.32  -50.08
  250.00  -47.03  -46.98  -46.85  -46.74  -46.69  -46.66  -46.58  -46.47  -46.40  -46.36  -46.32  -46.26  -46.15  -46.04  -45.92  -45.92  -46.03  -46.15  -46.22  -46.30  -46.41  -46.57  -46.61  -46.54
