#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -7.26   -9.59  -10.22  -12.38  -11.91  -12.69  -13.52  -14.37  -14.55  -13.79  -12.91  -13.10  -11.46  -10.10  -10.99  -10.77   -9.48   -6.68   -5.50   -4.45   -4.37   -6.21   -8.07   -8.22
    2.00   -3.73   -3.18   -4.58   -5.56   -7.26   -5.71   -5.22   -6.11   -8.26  -11.08  -10.73   -9.00   -7.84   -7.35   -7.91   -8.50   -9.42   -8.85   -8.47  -10.56  -11.48  -10.29   -9.84  -10.11
    3.00  -18.33  -16.66  -14.40  -15.16  -16.79  -18.07  -15.98  -15.13  -13.07  -13.02  -15.28  -17.82  -18.31  -16.10  -14.32  -13.70  -16.06  -17.01  -15.92  -15.52  -18.00  -18.78  -18.93  -17.63
   10.00  -36.04  -36.21  -37.09  -36.75  -36.11  -36.67  -36.26  -37.07  -37.95  -38.41  -38.28  -37.05  -35.92  -36.42  -36.90  -36.79  -36.95  -36.52  -35.94  -35.64  -36.03  -36.50  -36.63  -36.92
   20.00  -45.37  -46.25  -46.43  -46.17  -45.09  -44.71  -44.69  -44.87  -45.18  -44.99  -45.14  -45.57  -45.98  -45.84  -44.88  -43.58  -43.30  -43.92  -44.59  -44.67  -44.47  -44.38  -44.62  -44.86
   30.00  -50.76  -50.51  -49.94  -50.09  -50.47  -50.48  -50.59  -50.62  -50.24  -49.59  -49.20  -49.38  -49.80  -50.47  -50.94  -50.74  -49.65  -48.68  -48.25  -47.83  -47.81  -48.46  -49.72  -50.50
   50.00  -56.07  -55.68  -55.78  -56.22  -56.81  -57.32  -57.09  -56.48  -56.21  -56.55  -56.55  -56.53  -56.01  -55.35  -55.48  -56.03  -56.32  -56.49  -56.78  -57.06  -57.15  -56.66  -55.42  -55.14
   70.00  -60.22  -60.61  -60.87  -60.64  -60.02  -59.65  -59.69  -59.92  -60.04  -60.17  -59.92  -59.55  -58.86  -58.27  -58.08  -58.57  -59.41  -59.85  -59.84  -59.72  -59.69  -59.78  -59.82  -60.00
  100.00  -61.05  -61.19  -61.45  -61.92  -62.29  -62.41  -62.36  -62.63  -63.10  -63.04  -62.71  -62.46  -62.63  -62.44  -62.08  -61.65  -61.41  -61.36  -61.27  -61.32  -61.71  -62.14  -63.04  -63.27
  125.00  -61.34  -61.72  -61.69  -61.29  -60.87  -60.85  -61.06  -61.35  -61.71  -61.94  -61.68  -61.61  -61.90  -62.20  -62.31  -62.27  -62.31  -62.56  -62.82  -62.74  -62.61  -62.57  -63.14  -63.15
  150.00  -60.57  -60.54  -60.26  -60.01  -59.74  -59.58  -59.54  -59.68  -60.15  -60.64  -60.52  -60.33  -60.30  -60.18  -60.13  -60.14  -60.11  -60.17  -60.43  -60.57  -60.60  -60.69  -60.97  -61.00
  175.00  -60.94  -61.24  -61.33  -61.23  -61.11  -60.93  -60.64  -60.21  -59.92  -60.03  -60.39  -60.47  -60.27  -59.86  -59.40  -59.10  -58.97  -58.82  -58.58  -58.44  -58.22  -57.82  -57.46  -57.20
  200.00  -59.10  -59.34  -59.51  -59.58  -59.60  -59.55  -59.44  -59.23  -58.79  -58.02  -57.61  -57.48  -57.60  -57.62  -57.38  -56.84  -56.29  -55.95  -55.71  -55.48  -55.20  -54.79  -54.00  -53.61
  225.00  -53.46  -53.48  -53.54  -53.60  -53.66  -53.69  -53.68  -53.64  -53.57  -53.42  -53.11  -52.71  -52.45  -52.44  -52.51  -52.44  -52.13  -51.68  -51.26  -50.94  -50.69  -50.46  -50.01  -49.73
  250.00  -47.40  -47.40  -47.40  -47.42  -47.45  -47.47  -47.45  -47.40  -47.35  -47.27  -46.97  -46.82  -46.75  -46.84  -47.10  -47.29  -47.33  -47.20  -46.92  -46.54  -46.17  -45.89  -45.60  -45.54
