#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -5.79   -7.85   -7.62   -7.96   -8.70   -8.48   -9.18   -9.53   -7.00   -5.72   -5.61   -7.47   -6.95   -4.63   -3.95   -3.14   -2.90   -1.93   -3.01   -5.76   -5.02   -4.67   -5.05   -2.29
    2.00   -2.25   -1.36   -3.29   -6.68   -8.02   -7.93   -6.91   -7.59   -8.68   -7.57   -5.74   -4.47   -2.67   -3.36   -5.82   -5.37   -4.30   -3.49   -1.50    0.28   -2.72   -5.27   -3.73   -5.66
    3.00  -10.61  -10.92  -11.47  -11.06  -12.47  -14.01  -14.03  -13.68  -13.77  -14.80  -14.54  -12.26  -10.48   -7.95   -8.34  -10.29  -11.06  -11.03  -11.37  -10.86   -9.13   -8.36  -10.23  -10.12
   10.00  -41.12  -41.21  -41.18  -41.08  -41.77  -41.19  -40.56  -40.85  -40.77  -40.21  -39.41  -39.91  -40.50  -40.26  -40.37  -39.40  -39.08  -39.06  -39.26  -39.42  -39.60  -39.89  -38.55  -39.05
   20.00  -52.54  -52.79  -52.95  -52.96  -51.95  -51.58  -51.71  -51.58  -50.96  -51.18  -51.76  -52.49  -51.61  -51.62  -50.57  -50.51  -50.41  -50.77  -51.70  -51.85  -51.17  -50.46  -50.17  -50.84
   30.00  -56.74  -57.06  -57.08  -57.09  -56.97  -57.19  -57.02  -57.52  -58.28  -58.36  -57.18  -55.83  -55.03  -55.32  -56.02  -56.21  -56.67  -56.14  -55.75  -56.19  -56.61  -57.03  -56.67  -56.98
   50.00  -58.99  -58.17  -57.61  -57.13  -57.52  -57.49  -57.98  -58.39  -58.42  -58.53  -58.33  -58.49  -58.75  -57.95  -58.22  -58.15  -58.25  -58.44  -58.12  -57.80  -57.87  -57.88  -58.06  -58.31
   70.00  -58.43  -58.40  -58.56  -58.26  -58.65  -58.97  -59.02  -59.28  -59.11  -58.72  -58.60  -58.41  -58.69  -58.74  -58.55  -58.64  -58.30  -58.40  -58.64  -59.12  -59.08  -58.94  -58.63  -58.60
  100.00  -57.90  -58.01  -58.29  -58.33  -58.11  -58.27  -58.02  -58.06  -58.43  -58.22  -58.02  -57.65  -57.21  -57.11  -56.46  -56.30  -56.59  -57.44  -56.99  -56.95  -57.35  -57.43  -57.87  -57.73
  125.00  -55.07  -55.08  -55.39  -55.71  -55.07  -54.63  -54.22  -53.69  -54.13  -54.70  -54.98  -55.17  -55.31  -55.41  -55.24  -54.16  -53.84  -54.61  -55.09  -54.41  -54.52  -54.48  -54.54  -53.99
  150.00  -54.25  -54.12  -53.88  -54.04  -54.15  -54.27  -54.72  -54.18  -53.33  -52.78  -52.75  -52.85  -53.33  -53.35  -54.09  -53.73  -53.53  -51.72  -53.29  -53.60  -53.18  -53.39  -54.16  -53.59
  175.00  -55.30  -55.06  -54.80  -54.55  -54.60  -54.57  -54.75  -54.88  -54.66  -54.34  -53.48  -52.68  -52.55  -52.52  -53.10  -53.11  -53.88  -51.18  -51.26  -52.28  -52.24  -51.89  -51.79  -51.59
  200.00  -54.79  -54.66  -54.65  -54.15  -53.82  -53.63  -53.82  -54.22  -54.65  -55.51  -55.67  -55.39  -54.18  -53.38  -54.33  -56.45  -56.26  -55.51  -53.58  -53.35  -53.55  -52.81  -51.75  -51.04
  225.00  -54.84  -54.97  -55.13  -55.02  -55.09  -55.25  -55.42  -55.26  -54.97  -55.20  -56.13  -56.01  -55.75  -55.98  -55.19  -54.03  -54.37  -56.07  -55.87  -54.62  -54.69  -54.59  -55.55  -54.80
  250.00  -51.81  -51.79  -52.01  -52.27  -52.57  -52.80  -52.82  -52.92  -52.86  -52.87  -52.77  -52.73  -52.86  -52.78  -52.31  -51.72  -51.20  -52.10  -52.28  -51.99  -52.06  -52.07  -53.15  -53.36
  300.00  -43.52  -43.39  -43.43  -43.82  -44.25  -44.54  -44.65  -44.72  -44.57  -44.18  -44.24  -44.48  -44.34  -43.76  -43.61  -43.59  -43.11  -43.48  -43.60  -43.73  -43.65  -43.78  -44.32  -44.87
  350.00  -35.39  -35.51  -35.42  -35.36  -35.52  -35.77  -35.98  -36.09  -36.11  -35.97  -35.62  -35.60  -35.69  -35.59  -35.28  -35.63  -35.30  -35.52  -35.57  -35.94  -35.78  -35.89  -35.56  -35.88
  400.00  -28.05  -28.39  -28.64  -28.69  -28.49  -28.39  -28.31  -28.31  -28.32  -28.33  -28.04  -27.89  -27.99  -28.23  -28.25  -28.74  -28.44  -28.44  -28.63  -28.73  -28.68  -28.88  -28.25  -28.36
  450.00  -21.45  -21.94  -22.39  -22.58  -22.53  -22.35  -22.02  -21.98  -22.11  -22.14  -22.41  -22.34  -22.16  -22.46  -22.20  -22.32  -22.01  -22.00  -22.21  -22.21  -22.46  -22.72  -21.83  -21.87
  500.00  -15.58  -15.80  -16.12  -16.43  -16.58  -16.56  -16.44  -16.47  -16.46  -16.32  -16.77  -17.01  -16.97  -17.20  -16.89  -16.70  -16.40  -16.28  -16.80  -16.69  -16.79  -16.92  -16.28  -16.35
  550.00  -10.36  -10.30  -10.34  -10.49  -10.70  -10.88  -10.90  -10.91  -10.96  -10.93  -11.27  -11.70  -11.84  -12.01  -11.86  -11.54  -11.21  -10.95  -11.42  -11.45  -11.48  -11.56  -11.08  -11.54
