#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -14.99  -14.69  -14.61  -13.59  -13.32  -11.19  -11.37  -12.39  -13.94  -14.15  -14.69  -13.82  -12.31  -12.36  -11.54  -11.79  -12.01  -10.71   -7.97   -6.91   -8.14   -9.59  -11.19  -12.13
    2.00   -9.27  -12.02  -12.14  -13.56  -14.95  -16.77  -18.22  -16.52  -13.52  -13.91  -14.53  -14.52  -13.80  -12.76  -11.78  -10.93   -8.81   -8.46  -10.70  -13.06  -12.51  -10.94  -10.62  -10.39
    3.00  -20.40  -19.55  -19.44  -18.54  -20.67  -22.67  -23.84  -23.38  -23.00  -22.13  -21.57  -22.62  -22.64  -22.45  -19.81  -18.83  -18.98  -17.64  -16.26  -17.57  -19.50  -21.46  -22.89  -24.35
   10.00  -42.06  -41.29  -41.39  -41.40  -39.96  -40.40  -41.16  -40.87  -41.40  -42.22  -43.07  -43.36  -42.79  -42.54  -41.41  -40.39  -39.59  -39.57  -40.86  -41.99  -42.72  -43.38  -43.47  -42.47
   20.00  -47.19  -47.85  -48.37  -48.38  -47.90  -45.98  -44.57  -45.04  -45.73  -46.61  -48.09  -48.85  -49.04  -48.09  -46.75  -45.84  -45.72  -45.96  -45.78  -45.89  -45.84  -46.35  -47.68  -48.54
   30.00  -50.52  -51.25  -51.89  -51.55  -51.15  -50.77  -50.50  -49.70  -49.16  -48.87  -49.23  -50.30  -51.51  -52.80  -52.77  -52.47  -51.08  -49.94  -49.26  -49.67  -49.76  -49.77  -50.13  -51.04
   50.00  -57.38  -57.66  -57.76  -57.70  -57.42  -57.70  -58.09  -57.55  -56.38  -56.11  -55.99  -55.82  -55.07  -54.89  -55.01  -55.47  -55.31  -55.93  -56.49  -56.58  -56.74  -56.97  -56.79  -56.04
   70.00  -59.07  -58.96  -58.98  -59.25  -59.12  -58.88  -59.00  -59.45  -59.58  -59.37  -58.64  -58.31  -57.94  -57.72  -57.89  -58.33  -58.74  -59.09  -58.73  -58.55  -58.31  -58.42  -58.35  -58.52
  100.00  -59.78  -60.20  -60.63  -61.15  -61.66  -61.93  -61.72  -61.06  -60.93  -61.15  -61.14  -60.78  -60.30  -60.16  -60.27  -60.17  -59.79  -59.40  -59.55  -59.42  -59.68  -59.98  -60.50  -61.22
  125.00  -60.08  -59.62  -58.73  -57.62  -56.97  -56.87  -57.16  -57.50  -58.03  -58.67  -59.27  -59.55  -59.37  -59.09  -59.02  -59.13  -59.27  -58.88  -58.96  -58.42  -58.10  -57.68  -57.25  -57.67
  150.00  -58.03  -58.36  -58.41  -57.89  -57.15  -56.40  -56.02  -55.68  -55.46  -55.52  -55.92  -56.41  -56.61  -56.65  -56.79  -57.13  -57.57  -57.29  -57.41  -57.28  -56.80  -55.86  -54.78  -54.49
  175.00  -56.08  -56.44  -56.70  -56.65  -56.39  -55.95  -55.65  -55.23  -54.70  -54.33  -54.10  -54.26  -54.41  -54.50  -54.56  -54.84  -55.72  -55.64  -55.54  -55.69  -55.34  -54.59  -53.72  -52.92
  200.00  -53.87  -54.05  -54.19  -54.24  -54.24  -54.10  -53.97  -53.68  -53.08  -52.40  -52.02  -52.09  -52.38  -52.72  -53.10  -53.48  -54.00  -54.02  -53.52  -53.54  -53.15  -52.91  -52.66  -52.26
  225.00  -50.90  -51.01  -51.16  -51.25  -51.22  -51.10  -51.06  -51.06  -50.82  -50.26  -50.31  -50.33  -50.42  -50.43  -50.41  -50.55  -51.08  -51.49  -50.96  -51.23  -51.03  -51.09  -51.52  -51.86
  250.00  -47.28  -47.31  -47.46  -47.56  -47.62  -47.64  -47.71  -47.88  -47.99  -47.80  -47.98  -47.93  -48.01  -47.85  -47.64  -47.44  -47.60  -48.27  -48.21  -48.58  -48.99  -49.29  -49.49  -49.89
  300.00  -39.29  -39.17  -39.18  -39.35  -39.55  -39.67  -39.74  -39.94  -40.26  -40.51  -40.53  -40.31  -40.02  -39.97  -39.95  -39.73  -39.56  -39.84  -40.05  -40.31  -40.67  -41.15  -40.96  -41.42
  350.00  -31.06  -31.06  -31.15  -31.49  -31.91  -32.25  -32.42  -32.52  -32.65  -32.79  -32.89  -32.70  -32.35  -32.03  -31.71  -31.49  -31.30  -31.88  -31.97  -32.31  -32.83  -33.14  -33.13  -33.47
  400.00  -24.35  -24.41  -24.56  -24.88  -25.28  -25.64  -25.88  -26.13  -26.45  -26.79  -26.94  -27.06  -26.88  -26.66  -25.96  -25.06  -24.42  -24.72  -24.70  -24.64  -25.21  -25.38  -25.31  -25.48
  450.00  -18.79  -18.92  -19.08  -19.28  -19.49  -19.78  -20.14  -20.44  -20.69  -20.97  -20.97  -21.21  -21.27  -21.30  -21.14  -20.49  -18.95  -18.29  -17.97  -17.88  -18.22  -18.03  -17.87  -17.88
  500.00  -12.49  -12.64  -12.84  -13.10  -13.35  -13.61  -13.94  -14.29  -14.61  -14.91  -14.95  -15.13  -15.19  -15.17  -15.15  -14.82  -14.41  -13.06  -12.75  -12.46  -12.79  -12.52  -11.97  -11.94
  550.00   -6.95   -7.06   -7.23   -7.53   -7.72   -7.89   -8.13   -8.34   -8.47   -8.58   -8.68   -8.79   -8.87   -8.94   -8.99   -8.99   -8.93   -7.93   -8.10   -8.28   -8.44   -8.96   -8.87   -8.47
  600.00   -2.85   -2.70   -2.76   -3.01   -3.22   -3.38   -3.53   -3.63   -3.55   -3.36   -3.15   -3.03   -3.07   -3.18   -3.06   -3.12   -3.22   -3.29   -3.88   -3.40   -3.77   -4.32   -5.31   -5.31
  650.00    0.00    0.32    0.77    0.91    0.85    0.72    0.55    0.42    0.46    0.55    0.86    0.99    0.90    0.94    1.10    1.56    1.87    1.25    0.49    0.63    0.64    0.43   -0.07   -0.12
  700.00    4.91    4.97    5.09    5.19    5.17    5.09    4.90    4.73    4.74    4.84    5.23    5.18    5.15    4.87    4.37    5.03    5.82    5.43    4.74    4.14    4.60    4.58    4.56    4.31
  750.00    9.43    9.41    9.44    9.52    9.51    9.42    9.25    9.11    9.03    9.07    9.26    9.36    8.96    8.90    9.38    9.96   10.60   10.50    9.71    8.77    8.88    8.93    9.36    9.10
  775.00   12.04   11.87   11.73   11.72   11.72   11.70   11.61   11.46   11.36   11.32   11.27   11.34   10.90   11.55   12.06   12.61   13.24   13.16   12.19   11.22   11.32   11.32   11.59   11.21
  800.00   14.59   14.28   14.05   13.90   13.85   13.87   13.88   13.79   13.69   13.64   13.35   13.27   13.39   14.14   14.65   15.21   15.87   15.89   14.51   13.61   13.73   13.71   13.48   13.06
  825.00   17.01   16.60   16.13   15.92   15.88   15.91   15.96   15.92   15.84   15.91   15.55   15.04   15.91   16.71   17.31   17.78   18.45   18.61   16.70   15.82   16.14   16.04   15.17   14.69
  850.00   19.25   18.63   18.01   17.74   17.73   17.72   17.72   17.70   17.65   17.66   16.79   17.40   18.47   19.25   19.84   20.31   20.83   21.22   19.00   17.47   18.15   17.59   16.22   15.84
  875.00   21.37   20.60   19.48   19.10   19.34   19.58   19.71   19.58   19.15   18.77   18.25   19.85   20.91   21.71   22.37   22.83   23.36   23.43   21.22   18.57   19.23   18.35   16.87   16.56
  900.00   23.23   22.27   20.52   19.38   19.42   19.67   19.68   19.34   18.84   19.29   20.64   22.22   23.36   24.23   24.91   25.35   25.87   26.33   23.32   19.83   19.03   18.27   16.96   16.54
  925.00   23.71   22.81   21.27   19.82   18.93   18.50   18.28   18.67   20.13   21.95   23.44   25.09   26.25   27.13   27.76   28.01   28.48   28.95   25.85   22.14   21.16   20.27   18.93   18.54
