#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -15.73  -16.83  -16.95  -16.80  -16.71  -15.51  -12.94  -13.51  -12.84  -10.06   -8.37   -8.74   -8.50   -7.32   -5.59   -5.15   -5.35   -4.28   -4.29   -4.89   -6.93   -8.72  -10.77  -11.96
    2.00   -5.71   -5.83   -6.61   -7.67   -9.56  -12.09  -13.20  -12.46  -11.53  -12.27  -12.55  -10.36   -7.17   -7.50   -8.31   -8.06   -6.44   -5.27   -4.75   -5.11   -5.84   -5.63   -3.08   -3.63
    3.00  -15.09  -14.73  -14.50  -12.84  -11.18  -12.17  -13.36  -13.96  -13.49  -13.39  -13.69  -14.69  -14.19  -13.24  -11.85  -12.67  -13.79  -13.76  -12.59  -11.91  -12.47  -13.63  -15.55  -14.83
   10.00  -42.00  -41.24  -38.94  -37.72  -37.67  -37.61  -37.19  -36.58  -35.97  -36.91  -38.62  -39.85  -39.57  -39.01  -38.32  -37.93  -37.61  -37.46  -38.08  -38.29  -38.10  -38.12  -38.92  -40.04
   20.00  -48.01  -48.02  -47.62  -47.13  -47.32  -47.60  -47.90  -48.71  -48.54  -48.08  -47.70  -47.05  -46.61  -47.59  -48.19  -47.66  -46.86  -46.50  -46.35  -45.90  -45.56  -45.51  -45.67  -46.08
   30.00  -52.51  -52.33  -52.54  -52.55  -51.97  -52.52  -52.73  -52.28  -52.38  -52.63  -52.00  -52.03  -52.01  -51.42  -51.06  -51.30  -51.98  -52.87  -53.18  -53.42  -53.71  -53.26  -52.69  -52.17
   50.00  -58.22  -58.39  -58.51  -58.65  -58.66  -58.55  -58.53  -58.25  -58.32  -58.89  -58.67  -58.37  -58.13  -58.09  -58.35  -58.37  -58.22  -58.15  -58.07  -58.39  -58.58  -58.55  -58.85  -59.56
   70.00  -60.44  -60.21  -60.27  -60.65  -61.08  -60.86  -60.52  -60.81  -60.34  -59.64  -59.60  -60.14  -60.74  -61.24  -61.34  -61.41  -61.59  -61.63  -61.17  -60.65  -60.41  -60.02  -60.24  -60.37
  100.00  -58.59  -58.92  -58.79  -58.27  -58.04  -58.58  -58.20  -57.90  -58.26  -58.70  -59.22  -59.42  -59.49  -59.71  -59.76  -59.60  -59.57  -59.78  -60.03  -59.90  -59.98  -60.06  -60.16  -60.10
  125.00  -55.98  -56.33  -56.85  -57.08  -56.78  -56.75  -56.87  -56.35  -56.19  -56.38  -56.93  -56.66  -56.45  -56.37  -56.50  -56.54  -56.47  -56.55  -56.79  -56.77  -56.66  -56.77  -56.87  -57.02
