#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -12.34  -13.07  -12.07  -11.87  -11.81  -13.55  -14.61  -15.35  -16.17  -15.05  -13.38  -12.50  -12.27  -12.36  -10.51   -9.22   -8.21   -7.29   -6.72   -6.90   -7.40   -7.56   -8.39   -8.95
    2.00   -4.78   -6.24   -7.19   -9.49  -11.00  -12.21  -12.49  -12.73  -13.98  -14.63  -13.87  -12.59   -9.88   -8.12   -5.81   -5.02   -4.78   -5.07   -5.77   -5.80   -6.68   -7.42   -6.79   -4.95
    3.00  -13.28  -13.10  -13.21  -12.55  -12.80  -13.35  -14.54  -15.12  -15.67  -16.55  -16.80  -17.11  -16.86  -16.40  -13.77  -11.38  -10.36  -10.71  -11.79  -12.11  -12.78  -13.31  -13.17  -12.09
   10.00  -40.33  -39.85  -40.01  -40.09  -40.50  -40.84  -40.78  -40.57  -39.88  -40.03  -39.61  -39.07  -38.92  -38.12  -37.35  -37.50  -38.08  -38.27  -38.57  -38.86  -39.34  -38.57  -38.40  -37.90
   20.00  -47.10  -48.08  -48.15  -48.06  -47.63  -47.04  -47.36  -47.52  -47.26  -47.57  -47.84  -47.43  -47.66  -47.47  -46.43  -46.51  -46.68  -46.43  -46.38  -46.62  -46.39  -46.36  -47.45  -48.27
   30.00  -51.11  -50.56  -50.61  -50.58  -51.32  -52.52  -53.36  -53.42  -52.62  -51.43  -51.15  -51.48  -52.06  -53.24  -53.89  -53.65  -53.19  -52.87  -52.47  -51.66  -51.44  -51.55  -52.24  -52.18
   50.00  -58.39  -58.38  -58.07  -57.78  -57.90  -57.69  -57.31  -57.25  -57.31  -57.28  -57.58  -57.61  -57.34  -57.18  -57.56  -58.31  -58.90  -58.57  -58.08  -58.29  -58.42  -58.04  -57.51  -57.23
   70.00  -61.75  -61.73  -62.02  -62.02  -61.44  -61.37  -61.60  -61.87  -62.20  -62.52  -62.41  -62.34  -62.24  -61.84  -61.09  -60.40  -60.29  -60.83  -62.00  -62.52  -62.37  -62.55  -62.22  -61.75
  100.00  -62.34  -62.46  -62.25  -62.36  -62.54  -62.26  -61.91  -61.73  -61.77  -61.86  -61.21  -61.23  -61.30  -61.49  -62.02  -62.37  -62.69  -63.03  -63.22  -63.44  -62.98  -61.98  -61.62  -61.98
  125.00  -59.48  -59.58  -59.59  -59.69  -59.94  -60.15  -60.31  -60.27  -60.08  -59.90  -59.83  -60.20  -60.60  -60.65  -60.64  -60.44  -59.89  -59.73  -59.84  -60.32  -60.97  -61.26  -61.20  -61.15
