#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -3.62   -4.52   -6.34   -7.61   -8.61   -8.89   -6.79   -5.49   -5.35   -5.09   -5.21   -6.30   -6.48   -5.21   -4.40   -2.79   -1.29   -0.93   -1.99   -2.42   -2.66   -4.11   -4.68   -5.86
    2.00   -1.72   -1.35   -2.05   -3.62   -6.13   -8.59  -10.60  -10.98   -9.94   -7.06   -4.22   -3.07   -2.83   -3.64   -3.54   -2.49   -1.93   -2.45   -1.50   -1.22   -0.83   -0.36   -0.93   -2.11
    3.00  -12.19  -13.58  -10.85  -10.08  -10.98  -12.74  -14.53  -15.68  -16.01  -16.69  -15.77  -13.36  -11.55  -10.08  -10.57  -11.23  -10.78  -10.09   -9.96  -10.09  -12.06  -12.89  -12.64   -9.79
   10.00  -36.45  -35.65  -35.58  -35.98  -37.46  -39.04  -39.59  -39.41  -38.77  -37.56  -36.80  -36.38  -36.76  -37.60  -37.60  -36.93  -35.43  -35.36  -35.57  -35.18  -35.43  -35.45  -36.22  -37.03
   20.00  -45.45  -46.33  -47.03  -47.08  -46.58  -46.15  -45.51  -45.53  -45.32  -45.59  -45.80  -45.33  -44.60  -44.29  -44.06  -45.03  -45.83  -46.15  -46.35  -46.41  -45.90  -45.39  -46.05  -46.38
   30.00  -51.50  -51.46  -51.14  -51.05  -51.24  -51.30  -51.29  -51.38  -51.78  -51.62  -50.64  -50.75  -50.99  -50.80  -51.27  -51.29  -50.84  -50.67  -50.75  -50.19  -49.96  -49.95  -48.90  -49.69
   50.00  -58.39  -57.82  -56.65  -55.53  -55.27  -55.85  -56.33  -56.92  -57.01  -56.61  -56.17  -55.91  -56.04  -56.35  -56.55  -56.11  -55.97  -56.16  -55.95  -55.72  -55.90  -55.70  -55.06  -55.04
   70.00  -59.33  -59.39  -59.57  -59.76  -59.41  -58.76  -58.58  -58.52  -58.71  -58.81  -58.93  -58.85  -59.18  -59.50  -59.49  -58.78  -57.55  -57.13  -57.48  -57.98  -58.19  -58.11  -58.83  -58.95
  100.00  -58.24  -58.12  -57.89  -57.83  -58.03  -57.48  -57.13  -57.15  -57.22  -57.74  -57.80  -57.82  -57.67  -57.59  -57.68  -57.95  -57.80  -57.40  -57.17  -57.22  -57.40  -57.24  -56.24  -55.83
  125.00  -57.85  -57.50  -57.56  -57.50  -57.61  -57.81  -57.71  -57.51  -57.12  -56.83  -57.07  -57.15  -56.90  -56.35  -55.93  -56.03  -56.23  -56.37  -56.48  -56.50  -56.59  -56.76  -57.00  -57.40
  150.00  -60.05  -59.68  -59.09  -58.48  -58.24  -58.28  -57.91  -57.53  -57.19  -56.82  -56.89  -57.42  -57.57  -57.32  -56.67  -56.10  -55.89  -55.86  -55.76  -55.47  -55.19  -55.12  -54.87  -54.83
  175.00  -63.33  -63.53  -62.96  -61.58  -60.42  -59.86  -59.41  -58.84  -58.21  -57.45  -57.19  -57.05  -56.71  -56.60  -56.47  -56.10  -56.02  -56.09  -56.04  -55.91  -55.78  -55.75  -55.40  -55.30
  200.00  -61.88  -61.81  -61.68  -61.14  -60.27  -59.34  -58.76  -58.39  -58.08  -57.72  -57.44  -57.17  -56.85  -56.72  -56.75  -56.47  -56.15  -55.83  -55.43  -55.11  -54.91  -54.89  -54.83  -55.18
  225.00  -56.31  -56.17  -56.16  -56.28  -56.34  -56.19  -55.93  -55.50  -55.04  -54.60  -54.18  -53.91  -53.84  -53.70  -53.56  -53.24  -53.04  -52.96  -52.78  -52.67  -52.58  -52.63  -52.64  -53.26
  250.00  -50.63  -50.72  -50.94  -51.21  -51.46  -51.70  -51.79  -51.68  -51.39  -51.07  -50.68  -50.48  -50.46  -50.63  -50.85  -50.85  -50.75  -50.69  -50.61  -50.62  -50.60  -50.57  -50.40  -50.60
  300.00  -40.19  -40.32  -40.57  -40.93  -41.26  -41.51  -41.74  -42.04  -42.36  -42.75  -43.26  -43.62  -43.82  -44.00  -44.29  -44.48  -44.50  -44.45  -44.35  -44.28  -44.21  -44.14  -44.54  -44.54
  350.00  -31.01  -31.15  -31.43  -31.79  -32.12  -32.40  -32.66  -33.06  -33.65  -34.25  -34.92  -35.23  -35.37  -35.42  -35.52  -35.61  -35.70  -35.83  -36.00  -36.12  -36.16  -36.14  -36.29  -36.28
  400.00  -22.97  -23.28  -23.51  -23.74  -24.16  -24.61  -25.12  -25.74  -26.30  -26.66  -27.00  -27.19  -27.39  -27.52  -27.67  -27.83  -27.92  -27.96  -28.03  -28.14  -28.26  -28.28  -28.14  -28.06
  450.00  -16.34  -16.55  -16.90  -17.27  -17.68  -18.17  -18.68  -19.20  -19.62  -19.82  -19.97  -20.04  -20.18  -20.30  -20.49  -20.74  -20.96  -21.11  -21.22  -21.35  -21.48  -21.55  -21.36  -21.30
  500.00  -11.09  -11.20  -11.54  -11.97  -12.42  -12.88  -13.23  -13.38  -13.51  -13.61  -13.64  -13.68  -13.74  -13.79  -13.98  -14.23  -14.46  -14.63  -14.79  -14.98  -15.12  -15.24  -15.16  -15.23
  550.00   -6.92   -6.96   -7.09   -7.28   -7.43   -7.65   -7.88   -7.90   -7.89   -7.93   -7.92   -7.92   -7.94   -8.00   -8.22   -8.48   -8.69   -8.80   -8.91   -9.03   -9.14   -9.25   -9.26   -9.42
  600.00   -2.29   -2.34   -2.41   -2.51   -2.53   -2.58   -2.70   -2.71   -2.77   -2.90   -2.92   -2.84   -2.80   -2.86   -3.12   -3.40   -3.61   -3.68   -3.74   -3.81   -3.89   -3.95   -3.99   -4.10
  650.00    2.47    2.34    2.23    2.11    2.00    1.94    1.86    1.78    1.59    1.32    1.32    1.30    1.32    1.34    1.15    0.92    0.77    0.75    0.78    0.77    0.71    0.65    0.53    0.38
  700.00    6.56    6.33    6.14    5.79    5.45    5.30    5.11    4.93    4.65    4.35    4.89    4.88    4.87    4.69    3.56    2.83    2.98    3.11    3.43    3.89    4.21    4.42    4.02    3.90
  750.00    9.92    9.32    8.72    8.07    7.51    7.20    6.98    6.92    6.91    6.78    7.24    6.32    4.99    5.84    6.84    7.61    8.13    8.25    8.06    7.86    7.78    7.94    7.63    7.67
