#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -8.70  -10.26  -12.60  -12.86  -13.57  -13.30  -13.96  -12.24  -11.47  -11.72  -10.84  -10.58  -10.91  -11.41  -11.76  -10.58   -8.13   -6.60   -6.59   -6.85   -6.67   -6.94   -8.57   -8.35
    2.00   -8.85   -8.86   -8.84   -8.52   -9.30  -11.19  -11.44  -13.25  -12.95  -12.11  -12.40  -11.51  -10.23   -9.52   -8.99  -10.64  -10.54   -9.44   -6.95   -5.66   -5.20   -6.37   -7.92   -9.77
    3.00  -16.19  -16.39  -16.76  -17.22  -16.85  -17.03  -16.71  -16.71  -17.42  -17.60  -16.63  -14.96  -15.03  -14.92  -14.60  -15.15  -15.27  -15.50  -17.01  -17.48  -17.78  -15.69  -14.39  -15.15
   10.00  -37.11  -37.92  -37.83  -37.76  -37.38  -37.00  -36.62  -35.96  -36.28  -37.09  -38.06  -38.08  -38.10  -37.18  -36.22  -35.55  -34.89  -36.08  -37.33  -36.87  -36.57  -36.71  -37.93  -38.56
   20.00  -45.69  -45.48  -45.80  -46.35  -46.45  -46.90  -46.75  -46.63  -46.82  -47.28  -47.33  -46.85  -46.70  -46.96  -46.43  -45.56  -45.59  -45.45  -44.86  -44.95  -45.85  -46.80  -45.76  -45.06
   30.00  -51.59  -51.81  -51.34  -51.78  -51.85  -51.47  -51.32  -51.38  -51.27  -51.17  -50.61  -50.34  -50.50  -51.03  -51.60  -52.29  -52.44  -51.90  -51.23  -51.17  -51.26  -50.72  -50.53  -51.03
   50.00  -54.97  -55.41  -55.87  -55.51  -55.24  -55.06  -55.34  -55.89  -56.28  -56.40  -55.35  -54.59  -54.07  -53.99  -54.36  -54.98  -55.80  -56.16  -56.20  -56.14  -56.15  -56.11  -55.74  -55.86
   70.00  -57.88  -57.74  -58.02  -58.16  -58.63  -59.17  -59.11  -58.65  -58.39  -58.36  -58.59  -58.51  -58.27  -57.91  -57.81  -57.86  -58.23  -58.77  -59.19  -59.44  -59.82  -60.08  -59.57  -58.81
  100.00  -58.27  -57.96  -57.89  -57.84  -57.69  -57.89  -58.36  -58.98  -59.38  -59.43  -59.12  -58.99  -58.64  -58.37  -58.49  -58.68  -58.58  -58.43  -58.19  -57.87  -57.56  -57.33  -57.44  -57.47
  125.00  -56.43  -56.01  -55.58  -55.45  -55.10  -54.74  -54.43  -54.80  -55.47  -56.14  -56.94  -57.28  -57.44  -57.43  -57.57  -57.91  -58.10  -58.36  -58.70  -58.90  -58.82  -58.64  -58.16  -57.95
  150.00  -54.65  -55.71  -56.33  -57.02  -57.21  -57.03  -56.38  -56.31  -56.82  -57.55  -58.62  -58.95  -59.12  -58.98  -58.81  -58.93  -59.04  -59.33  -60.03  -60.82  -61.25  -61.35  -60.80  -61.33
  175.00  -56.40  -57.98  -58.61  -58.46  -58.29  -58.03  -57.67  -57.43  -57.71  -58.30  -59.05  -59.45  -59.87  -60.09  -60.13  -60.19  -60.26  -60.31  -60.45  -60.63  -60.79  -60.89  -60.95  -61.00
  200.00  -56.03  -55.99  -56.01  -55.97  -56.19  -56.40  -56.09  -55.91  -55.82  -55.29  -54.96  -55.04  -55.40  -55.79  -56.03  -56.21  -56.32  -56.29  -56.12  -55.88  -55.85  -56.14  -56.65  -57.07
  225.00  -52.95  -52.83  -52.43  -52.01  -52.01  -52.25  -52.15  -51.14  -50.95  -51.31  -51.74  -51.79  -52.04  -52.41  -52.58  -52.68  -52.74  -52.79  -52.81  -52.74  -52.50  -52.12  -51.80  -51.65
  250.00  -48.49  -48.20  -47.80  -47.53  -47.39  -47.17  -46.95  -46.32  -45.56  -45.85  -46.60  -46.82  -46.99  -47.17  -47.21  -47.18  -47.13  -47.11  -47.09  -47.09  -47.09  -47.08  -47.04  -46.91
  300.00  -37.89  -37.71  -37.61  -37.51  -37.40  -37.49  -37.67  -37.91  -37.49  -36.97  -36.93  -36.96  -36.86  -36.69  -36.53  -36.44  -36.37  -36.37  -36.39  -36.43  -36.47  -36.49  -36.63  -36.60
  350.00  -29.40  -28.84  -28.31  -28.12  -28.34  -28.89  -29.63  -30.12  -30.05  -29.31  -28.19  -27.78  -27.56  -27.49  -27.40  -27.26  -27.16  -27.16  -27.17  -27.20  -27.23  -27.25  -27.30  -27.30
  400.00  -21.80  -21.73  -21.76  -21.55  -21.40  -21.66  -22.28  -22.71  -22.88  -22.68  -21.34  -20.56  -20.02  -19.94  -19.90  -19.71  -19.53  -19.45  -19.40  -19.33  -19.24  -19.13  -19.11  -19.13
  450.00  -15.53  -15.66  -15.96  -15.87  -15.73  -15.75  -15.96  -16.11  -16.22  -16.27  -15.54  -15.08  -14.40  -13.97  -13.70  -13.42  -13.24  -13.11  -13.03  -12.95  -12.83  -12.64  -12.55  -12.45
  500.00  -10.33  -10.21  -10.23  -10.14  -10.17  -10.41  -10.52  -10.50  -10.51  -10.56  -10.42  -10.29  -10.01   -9.62   -9.15   -8.60   -8.21   -7.92   -7.73   -7.61   -7.56   -7.55   -7.87   -7.86
  550.00   -5.53   -5.31   -5.19   -5.26   -5.25   -5.51   -5.64   -5.64   -5.62   -5.68   -5.70   -5.53   -5.31   -5.04   -4.75   -4.47   -4.26   -3.99   -3.63   -3.39   -3.31   -3.29   -3.56   -3.55
  600.00   -1.96   -2.04   -2.05   -2.13   -1.91   -1.68   -1.44   -1.37   -1.31   -1.28   -1.10   -1.09   -1.04   -0.89   -0.74   -0.61   -0.56   -0.48   -0.28   -0.26   -0.35   -0.40   -0.14    0.15
