#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -17.09  -19.18  -19.57  -20.01  -20.21  -19.63  -19.23  -19.16  -19.30  -18.88  -17.93  -17.74  -17.82  -18.62  -19.43  -19.82  -19.74  -18.84  -18.66  -18.69  -18.23  -17.97  -17.86  -18.63
    2.00  -11.41  -10.36  -10.70  -11.36  -11.76  -12.78  -13.26  -13.62  -13.73  -13.57  -12.45  -11.14   -8.34   -6.82   -5.75   -5.42   -5.81   -5.94   -5.78   -5.99   -6.48   -7.43   -7.86   -8.51
    3.00  -11.07  -10.38  -10.92  -11.76  -12.98  -14.10  -14.89  -14.62  -14.45  -14.56  -12.91  -11.09   -9.99   -9.23  -10.07  -10.28  -10.24   -9.74   -8.41   -7.40   -6.17   -5.46   -5.70   -6.92
   10.00  -52.97  -52.67  -53.36  -54.77  -55.69  -55.08  -55.48  -55.10  -54.47  -54.16  -52.72  -51.36  -51.05  -50.53  -50.58  -51.69  -52.46  -52.94  -52.79  -52.56  -52.75  -52.52  -52.02  -51.64
   20.00  -61.54  -61.56  -60.95  -60.97  -61.68  -62.76  -63.31  -62.51  -62.72  -62.61  -61.96  -62.24  -63.04  -63.34  -63.03  -62.84  -62.76  -62.61  -62.51  -62.91  -63.01  -62.53  -61.45  -61.13
   30.00  -64.91  -65.30  -65.17  -64.81  -64.41  -64.37  -65.06  -65.47  -65.09  -65.15  -64.94  -64.30  -64.16  -64.64  -65.23  -65.21  -65.41  -65.82  -66.06  -66.03  -65.79  -65.44  -65.56  -66.21
   50.00  -66.88  -67.08  -67.09  -67.15  -67.62  -67.76  -67.76  -68.38  -69.22  -69.48  -69.56  -69.18  -69.12  -68.81  -68.98  -69.20  -68.99  -68.40  -68.15  -68.19  -68.21  -68.11  -68.03  -67.67
   70.00  -69.09  -69.30  -69.51  -69.15  -68.84  -69.36  -69.66  -69.26  -69.68  -70.80  -70.26  -70.01  -69.85  -70.12  -71.21  -72.14  -72.83  -73.08  -72.98  -72.91  -73.02  -73.29  -73.42  -73.29
  100.00  -66.48  -66.56  -66.75  -67.06  -66.76  -66.58  -67.66  -68.62  -68.03  -67.36  -67.77  -67.82  -67.94  -67.70  -67.07  -66.77  -66.74  -66.65  -66.70  -66.66  -66.51  -66.42  -65.85  -66.18
  125.00  -64.55  -64.13  -64.24  -64.78  -64.89  -64.69  -64.34  -64.28  -64.75  -64.64  -64.17  -63.76  -63.88  -64.27  -64.04  -63.12  -62.79  -62.83  -62.86  -62.88  -62.83  -62.69  -62.13  -62.30
  150.00  -67.82  -66.39  -65.43  -65.61  -65.60  -64.75  -63.97  -64.08  -64.81  -64.85  -65.21  -65.14  -64.79  -65.00  -65.72  -65.06  -63.48  -62.56  -62.24  -62.60  -63.35  -63.42  -63.22  -63.08
  175.00  -69.13  -68.87  -68.23  -67.78  -68.00  -67.98  -67.11  -65.95  -64.96  -64.60  -64.78  -64.89  -64.89  -64.66  -64.64  -65.05  -65.53  -65.84  -66.00  -65.68  -65.06  -64.59  -65.46  -65.47
  200.00  -63.74  -63.87  -63.93  -63.82  -63.59  -63.32  -62.92  -62.49  -62.05  -61.76  -61.55  -61.40  -61.16  -60.96  -60.93  -61.14  -61.43  -61.58  -61.61  -61.62  -61.77  -62.05  -62.65  -62.83
