# 2012/06/30

932.4	732.0	11.7	10.2	90.0	8.4	305.0	17.7	290.7	311.3	292.1
930.8	746.0	11.6	10.1	90.0	8.4	305.1	17.6	290.7	311.3	292.1
929.2	760.0	11.5	10.1	91.0	8.4	305.3	17.4	290.7	311.3	292.2
927.7	774.0	11.3	10.0	92.0	8.3	305.4	17.2	290.7	311.2	292.1
926.2	788.0	11.2	10.0	92.0	8.3	305.5	17.0	290.7	311.2	292.1
924.6	802.0	11.1	9.9	92.0	8.3	305.5	16.8	290.7	311.2	292.2
923.0	817.0	11.0	9.8	93.0	8.3	305.3	16.6	290.8	311.2	292.2
921.4	831.0	10.9	9.8	93.0	8.3	305.0	16.4	290.8	311.2	292.3
919.9	845.0	10.8	9.7	93.0	8.3	304.7	16.2	290.9	311.2	292.3
918.4	858.0	10.6	9.6	94.0	8.2	304.3	16.0	290.8	311.1	292.2
917.0	871.0	10.5	9.6	94.0	8.2	303.7	15.9	290.8	311.1	292.2
915.5	885.0	10.4	9.6	95.0	8.2	303.1	15.7	290.8	311.1	292.3
914.0	898.0	10.3	9.6	95.0	8.2	302.6	15.6	290.9	311.2	292.3
912.4	913.0	10.1	9.6	96.0	8.3	302.1	15.5	290.8	311.1	292.2
910.7	929.0	10.0	9.5	97.0	8.3	301.6	15.5	290.9	311.2	292.3
909.1	943.0	9.9	9.5	97.0	8.3	301.3	15.5	290.9	311.2	292.3
907.6	957.0	9.9	9.4	97.0	8.2	301.2	15.6	291.1	311.3	292.5
906.1	971.0	9.8	9.3	97.0	8.2	301.2	15.7	291.1	311.2	292.5
904.6	984.0	9.7	9.3	97.0	8.2	301.2	15.9	291.1	311.2	292.5
903.2	998.0	9.6	9.2	98.0	8.2	301.3	16.1	291.1	311.2	292.6
901.9	1010.0	9.5	9.2	98.0	8.2	301.4	16.2	291.2	311.2	292.6
900.5	1022.0	9.5	9.2	98.0	8.1	301.4	16.4	291.3	311.3	292.7
899.2	1035.0	9.4	9.1	98.0	8.1	301.4	16.5	291.3	311.3	292.7
897.8	1047.0	9.4	9.1	98.0	8.1	301.2	16.6	291.4	311.5	292.8
896.3	1061.0	9.3	9.0	98.0	8.1	300.9	16.7	291.5	311.4	292.9
